Control,Reference,Description,Clause,Initial Assessment Points,Evidence/Artifact,Findings,Status
1,1.1-1.6,"Inventory & Control of Hardware Assets – Ensure all hardware assets are identified, authorized, and tracked against inventory records. Unauthorized devices must be detected and addressed promptly. As detailed in the CIS Controls Assessment Specification, this control requires organizations to establish structured processes, supported by both manual and automated methods, to ensure compliance. The description should include not only what needs to be done but also why it is critical, referencing risks such as unauthorized devices, unsupported software, patching delays, or misuse of privileges【69†source】. Clear documentation, regular validation, and the use of active and passive scanning tools are emphasized to provide reliable evidence of compliance and reinforce accountability.","Accuracy score, unauthorized asset ratios","Is there an up-to-date inventory of all hardware assets for Sub-control 1.1-1.6?
Are unauthorized devices detected and remediated within defined timeframes?
Is the inventory validated against scan results?","Hardware Asset Register (unique IDs, owner, location); Automated discovery scan reports (e.g., Nmap, SCCM); Joiner/Mover/Leaver asset handover forms; Procurement & disposal/decommission logs with approvals; Network topology or CMDB export mapping devices; Approved policy/standard (with owner & last review date); Documented procedure/SOP; Implementation configuration screenshots/exports; System/tool reports (CSV/PDF) with timestamps; Change/approval tickets (CAB records); Periodic review logs & sign-off",,
2,2.1,"Inventory & Control of Software Assets – Maintain an approved list of authorized software. Verify vendor support, remove unapproved or outdated software, and ensure patch levels are current. As detailed in the CIS Controls Assessment Specification, this control requires organizations to establish structured processes, supported by both manual and automated methods, to ensure compliance. The description should include not only what needs to be done but also why it is critical, referencing risks such as unauthorized devices, unsupported software, patching delays, or misuse of privileges【69†source】. Clear documentation, regular validation, and the use of active and passive scanning tools are emphasized to provide reliable evidence of compliance and reinforce accountability.","Authorized vs. unauthorized ratio, update quality, unsupported software counts","Is there an approved list of authorized software for Sub-control 2.1?
Is unsupported or unapproved software removed or remediated?
Are updates and patches applied to all installed software?",Patch policy & maintenance calendar; WSUS/Intune/SCCM patch compliance reports; Exception/deferral register with risk acceptance; Sample endpoint/server patch history; Approved policy/standard (with owner & last review date); Documented procedure/SOP; Implementation configuration screenshots/exports; System/tool reports (CSV/PDF) with timestamps; Change/approval tickets (CAB records); Periodic review logs & sign-off; Software inventory-change audit trail; Blacklist/allowlist enforcement logs,,
2,2.2,"Inventory & Control of Software Assets – Maintain an approved list of authorized software. Verify vendor support, remove unapproved or outdated software, and ensure patch levels are current. As detailed in the CIS Controls Assessment Specification, this control requires organizations to establish structured processes, supported by both manual and automated methods, to ensure compliance. The description should include not only what needs to be done but also why it is critical, referencing risks such as unauthorized devices, unsupported software, patching delays, or misuse of privileges【69†source】. Clear documentation, regular validation, and the use of active and passive scanning tools are emphasized to provide reliable evidence of compliance and reinforce accountability.","Authorized vs. unauthorized ratio, update quality, unsupported software counts","Is there an approved list of authorized software for Sub-control 2.2?
Is unsupported or unapproved software removed or remediated?
Are updates and patches applied to all installed software?",Patch policy & maintenance calendar; WSUS/Intune/SCCM patch compliance reports; Exception/deferral register with risk acceptance; Sample endpoint/server patch history; Approved policy/standard (with owner & last review date); Documented procedure/SOP; Implementation configuration screenshots/exports; System/tool reports (CSV/PDF) with timestamps; Change/approval tickets (CAB records); Periodic review logs & sign-off; Software inventory-change audit trail; Blacklist/allowlist enforcement logs,,
2,2.6,"Inventory & Control of Software Assets – Maintain an approved list of authorized software. Verify vendor support, remove unapproved or outdated software, and ensure patch levels are current. As detailed in the CIS Controls Assessment Specification, this control requires organizations to establish structured processes, supported by both manual and automated methods, to ensure compliance. The description should include not only what needs to be done but also why it is critical, referencing risks such as unauthorized devices, unsupported software, patching delays, or misuse of privileges【69†source】. Clear documentation, regular validation, and the use of active and passive scanning tools are emphasized to provide reliable evidence of compliance and reinforce accountability.","Authorized vs. unauthorized ratio, update quality, unsupported software counts","Is there an approved list of authorized software for Sub-control 2.6?
Is unsupported or unapproved software removed or remediated?
Are updates and patches applied to all installed software?",Patch policy & maintenance calendar; WSUS/Intune/SCCM patch compliance reports; Exception/deferral register with risk acceptance; Sample endpoint/server patch history; Approved policy/standard (with owner & last review date); Documented procedure/SOP; Implementation configuration screenshots/exports; System/tool reports (CSV/PDF) with timestamps; Change/approval tickets (CAB records); Periodic review logs & sign-off; Software inventory-change audit trail; Blacklist/allowlist enforcement logs,,
3,3,"Continuous Vulnerability Management – Continuously identify, prioritize, and remediate vulnerabilities using automated scanning and timely patching. As detailed in the CIS Controls Assessment Specification, this control requires organizations to establish structured processes, supported by both manual and automated methods, to ensure compliance. The description should include not only what needs to be done but also why it is critical, referencing risks such as unauthorized devices, unsupported software, patching delays, or misuse of privileges【69†source】. Clear documentation, regular validation, and the use of active and passive scanning tools are emphasized to provide reliable evidence of compliance and reinforce accountability.","Vulnerability counts, patch speeds, patch coverage","Are regular vulnerability scans conducted on all systems?
Are identified vulnerabilities prioritized and remediated promptly?
Are remediation timelines tracked against policy?",Authenticated vulnerability scan reports (last 3 cycles); Remediation/closure tickets with CVE references; Risk rating methodology & SLA matrix; External ASV or third-party scan results (if applicable); Approved policy/standard (with owner & last review date); Documented procedure/SOP; Implementation configuration screenshots/exports; System/tool reports (CSV/PDF) with timestamps; Change/approval tickets (CAB records); Periodic review logs & sign-off,,
4,4.2,"Controlled Use of Administrative Privileges – Manage administrative accounts separately from user accounts. Enforce strong credential policies and log privileged activity. As detailed in the CIS Controls Assessment Specification, this control requires organizations to establish structured processes, supported by both manual and automated methods, to ensure compliance. The description should include not only what needs to be done but also why it is critical, referencing risks such as unauthorized devices, unsupported software, patching delays, or misuse of privileges【69†source】. Clear documentation, regular validation, and the use of active and passive scanning tools are emphasized to provide reliable evidence of compliance and reinforce accountability.","% systems with changed defaults, admin segregation compliance","Are default vendor accounts/passwords changed on all systems?
Are administrative accounts separate from user accounts?
Is privileged activity logged and reviewed?",Identity lifecycle (joiner/mover/leaver) logs; Dormant/expired account review and closure proofs; Privilege escalation alerts & reports; Conditional access policy evidence; Approved policy/standard (with owner & last review date); Documented procedure/SOP; Implementation configuration screenshots/exports; System/tool reports (CSV/PDF) with timestamps; Change/approval tickets (CAB records); Periodic review logs & sign-off; Admin account vault logs; Break-glass account procedure with evidence,,
4,4.3,"Controlled Use of Administrative Privileges – Manage administrative accounts separately from user accounts. Enforce strong credential policies and log privileged activity. As detailed in the CIS Controls Assessment Specification, this control requires organizations to establish structured processes, supported by both manual and automated methods, to ensure compliance. The description should include not only what needs to be done but also why it is critical, referencing risks such as unauthorized devices, unsupported software, patching delays, or misuse of privileges【69†source】. Clear documentation, regular validation, and the use of active and passive scanning tools are emphasized to provide reliable evidence of compliance and reinforce accountability.","% systems with changed defaults, admin segregation compliance","Are default vendor accounts/passwords changed on all systems?
Are administrative accounts separate from user accounts?
Is privileged activity logged and reviewed?",Identity lifecycle (joiner/mover/leaver) logs; Dormant/expired account review and closure proofs; Privilege escalation alerts & reports; Conditional access policy evidence; Approved policy/standard (with owner & last review date); Documented procedure/SOP; Implementation configuration screenshots/exports; System/tool reports (CSV/PDF) with timestamps; Change/approval tickets (CAB records); Periodic review logs & sign-off; Admin account vault logs; Break-glass account procedure with evidence,,
5,5.1,"Secure Configurations (HW & SW) – Apply secure configuration baselines across systems. Regularly validate compliance with industry benchmarks (e.g., CIS Benchmarks, DISA STIGs). As detailed in the CIS Controls Assessment Specification, this control requires organizations to establish structured processes, supported by both manual and automated methods, to ensure compliance. The description should include not only what needs to be done but also why it is critical, referencing risks such as unauthorized devices, unsupported software, patching delays, or misuse of privileges【69†source】. Clear documentation, regular validation, and the use of active and passive scanning tools are emphasized to provide reliable evidence of compliance and reinforce accountability.",# compliant vs. non-compliant systems,"Are secure baseline configurations (e.g., CIS Benchmarks) applied to all systems?
Are systems regularly scanned for configuration compliance?
Are deviations remediated in a timely manner?",Hardened build baseline (CIS/NIST) per OS/app; GPO/MDM configuration exports; Configuration compliance scan results; Deviation/exception register and approvals; Approved policy/standard (with owner & last review date); Documented procedure/SOP; Implementation configuration screenshots/exports; System/tool reports (CSV/PDF) with timestamps; Change/approval tickets (CAB records); Periodic review logs & sign-off,,
6,6.2,"Audit Log Management – Enable, protect, and centralize system and network audit logs. Ensure sufficient retention and timely monitoring. As detailed in the CIS Controls Assessment Specification, this control requires organizations to establish structured processes, supported by both manual and automated methods, to ensure compliance. The description should include not only what needs to be done but also why it is critical, referencing risks such as unauthorized devices, unsupported software, patching delays, or misuse of privileges【69†source】. Clear documentation, regular validation, and the use of active and passive scanning tools are emphasized to provide reliable evidence of compliance and reinforce accountability.",% systems with logging enabled vs. total,"Are audit logs enabled on all systems?
Are logs centralized and protected from tampering?
Is there a defined log retention policy?",Log configuration settings per system/application; SIEM/central log collector connectivity report; Log retention/archival policy and storage evidence; Log integrity/hash or tamper-evidence records; Approved policy/standard (with owner & last review date); Documented procedure/SOP; Implementation configuration screenshots/exports; System/tool reports (CSV/PDF) with timestamps; Change/approval tickets (CAB records); Periodic review logs & sign-off; Log source onboarding checklist; Use case/content library with mapping to risks,,
7,7.1,"Email & Web Browser Protections – Use only supported browsers and email clients. Enforce security policies such as DNS filtering and disabling insecure features. As detailed in the CIS Controls Assessment Specification, this control requires organizations to establish structured processes, supported by both manual and automated methods, to ensure compliance. The description should include not only what needs to be done but also why it is critical, referencing risks such as unauthorized devices, unsupported software, patching delays, or misuse of privileges【69†source】. Clear documentation, regular validation, and the use of active and passive scanning tools are emphasized to provide reliable evidence of compliance and reinforce accountability.","% endpoints with supported browsers/clients, DNS filtering coverage","Are only supported browsers and email clients permitted?
Are outdated/insecure browsers or clients blocked or removed?
Is DNS filtering enforced across all endpoints?",Approved email/browser list & supported versions; Secure gateway/SWG policy export; Phishing filter/safe-browsing settings evidence; Phishing simulation results & corrective actions; Approved policy/standard (with owner & last review date); Documented procedure/SOP; Implementation configuration screenshots/exports; System/tool reports (CSV/PDF) with timestamps; Change/approval tickets (CAB records); Periodic review logs & sign-off,,
7,7.7,"Email & Web Browser Protections – Use only supported browsers and email clients. Enforce security policies such as DNS filtering and disabling insecure features. As detailed in the CIS Controls Assessment Specification, this control requires organizations to establish structured processes, supported by both manual and automated methods, to ensure compliance. The description should include not only what needs to be done but also why it is critical, referencing risks such as unauthorized devices, unsupported software, patching delays, or misuse of privileges【69†source】. Clear documentation, regular validation, and the use of active and passive scanning tools are emphasized to provide reliable evidence of compliance and reinforce accountability.","% endpoints with supported browsers/clients, DNS filtering coverage","Are only supported browsers and email clients permitted?
Are outdated/insecure browsers or clients blocked or removed?
Is DNS filtering enforced across all endpoints?",Approved email/browser list & supported versions; Secure gateway/SWG policy export; Phishing filter/safe-browsing settings evidence; Phishing simulation results & corrective actions; Approved policy/standard (with owner & last review date); Documented procedure/SOP; Implementation configuration screenshots/exports; System/tool reports (CSV/PDF) with timestamps; Change/approval tickets (CAB records); Periodic review logs & sign-off,,
8,8.2,"Malware Defenses – Deploy enterprise-grade anti-malware across all endpoints. Configure scanning for removable media and disable auto-run. As detailed in the CIS Controls Assessment Specification, this control requires organizations to establish structured processes, supported by both manual and automated methods, to ensure compliance. The description should include not only what needs to be done but also why it is critical, referencing risks such as unauthorized devices, unsupported software, patching delays, or misuse of privileges【69†source】. Clear documentation, regular validation, and the use of active and passive scanning tools are emphasized to provide reliable evidence of compliance and reinforce accountability.","Coverage, freshness of updates, compliance lists","Is anti-malware installed and enabled on all endpoints?
Are malware signatures and engines updated regularly?
Are removable media automatically scanned on insertion?",EDR/AV deployment & coverage dashboard; Signature/agent version update logs; Malware incident tickets with forensics summary; Quarantine/remediation reports; Approved policy/standard (with owner & last review date); Documented procedure/SOP; Implementation configuration screenshots/exports; System/tool reports (CSV/PDF) with timestamps; Change/approval tickets (CAB records); Periodic review logs & sign-off,,
