Reference,Clause,Description,Audit Questions,Evidence / Artifacts,Status
EDM01,Ensure Governance Framework Setting and Maintenance,"Establish and maintain a governance framework aligned with organizational goals and regulatory requirements. Ensure principles are defined, communicated, and reviewed regularly to maintain relevance.","1. Has the organization defined a governance framework for IT?
2. Is the framework aligned with enterprise objectives?
3. Are roles and responsibilities documented?
4. Is the framework reviewed and updated regularly?","Governance framework documents, IT governance charter, board/committee minutes, policies, role descriptions; IT governance framework/charter; Board/steering committee minutes; Roles & responsibilities/RACI for governance; Governance policy and review schedule",
EDM02,Ensure Benefits Delivery,"Ensure that IT-enabled investments deliver expected business value. Benefits must be tracked, reported, and adjusted where necessary to achieve alignment with strategic goals.","1. Are business benefits defined for IT investments?
2. Is there a process for tracking realized benefits?
3. Are deviations reported to management?
4. Are adjustments made to optimize benefits?","Business case documents, benefits realization reports, investment review minutes; Benefits realization plan & KPIs; Approved business cases; Post‑implementation reviews (PIRs); Benefits tracking dashboard",
EDM03,Ensure Risk Optimization,"Establish risk governance practices to balance risk and opportunity in IT operations and projects. Ensure risks are identified, assessed, monitored, and reported to support informed decision-making.","1. Is there a risk governance framework in place?
2. Are IT risks regularly identified and assessed?
3. Are risk reports submitted to the board or senior management?
4. Are mitigation plans monitored?","Enterprise risk framework, risk registers, risk reports, mitigation plans; IT governance framework/charter; Board/steering committee minutes; Roles & responsibilities/RACI for governance; Governance policy and review schedule; ERM framework and risk appetite statement; IT risk register with treatment plans; Risk assessment reports; Key risk indicators (KRIs)",
EDM04,Ensure Resource Optimization,"Ensure that IT resources (people, processes, infrastructure, and applications) are used effectively and efficiently. Optimize resource allocation to support business priorities.","1. Are IT resources monitored for utilization and capacity?
2. Is there a process for optimizing resource allocation?
3. Are skill gaps identified and addressed?
4. Are IT investments aligned with business priorities?","Resource allocation plans, capacity reports, training records, IT investment reports; Capacity and resource utilization reports; Skills inventory & training plan; Sourcing strategy and budgets",
EDM05,Ensure Stakeholder Engagement,"Ensure that stakeholder needs, expectations, and feedback are considered in IT governance decisions. Regularly engage stakeholders to improve alignment and trust.","1. Are key IT stakeholders identified?
2. Are stakeholder needs documented and reviewed?
3. Are there formal mechanisms for stakeholder communication?
4. Is feedback incorporated into IT decision-making?","Stakeholder maps, communication plans, meeting minutes, feedback surveys; Stakeholder map & engagement plan; Communications plan & artifacts; Feedback surveys and action logs",
APO01,Manage the IT Management Framework,"This control objective focuses on the organization's ability to manage the it management framework. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; IT management system policies & standards; Process inventory & owners; Compliance review/management review minutes",
APO02,Manage Strategy,"This control objective focuses on the organization's ability to manage strategy. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; IT strategy document aligned to business; Strategy roadmap & OKRs; Strategy review minutes",
APO03,Manage Enterprise Architecture,"This control objective focuses on the organization's ability to manage enterprise architecture. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Enterprise architecture (current/target); Technology standards & patterns; Architecture review board records",
APO04,Manage Innovation,"This control objective focuses on the organization's ability to manage innovation. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Innovation pipeline/ideas log; Evaluation criteria & outcomes; Pilot reports/PoCs",
APO05,Manage Portfolio,"This control objective focuses on the organization's ability to manage portfolio. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Portfolio register with priorities; Business case summaries; Portfolio governance minutes",
