Chapter,Clause,Reference,Title,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
Chapter 1. California Consumer Privacy Act Regulations,Article 1. General Provisions,§ 7000,Title and Scope,"Establishes the regulations’ official title and clarifies that these rules implement and interpret the California Consumer Privacy Act (as amended by the CPRA). Explains the overall scope—who must comply (businesses, service providers, contractors, and third parties) and how these regulations interact with the statute. Sets the expectation that, where ambiguities arise, provisions should be construed to protect consumer privacy and effectuate the law’s purposes.","1) Is the business in scope of CCPA/CPRA (meets statutory thresholds or otherwise covered)?
2) Are service providers, contractors, and third parties identified with roles documented?
3) Are internal policies aligned to interpretive guidance in these regulations?",Privacy governance charter; Scope determination memo; Definitions register; Applicability assessment (CCPA/CPRA thresholds),,
Chapter 1. California Consumer Privacy Act Regulations,Article 1. General Provisions,§ 7001,Definitions,"Provides operative definitions for terms used throughout the regulations (e.g., business, consumer, household, personal information, sensitive personal information, contractor, service provider, third party, sell, share, disclose, and opt-out preference signal). Definitions tailor statutory terms for regulatory application and cross‑reference where applicable to ensure consistent interpretation and enforcement.","1) Has the organization adopted a definitions catalog mapping statutory/regulatory terms to internal equivalents?
2) Are staff trained on key terms (sell/share, sensitive PI, service provider vs contractor vs third party)?
3) Do contracts and privacy notices use terms consistently with the regs?",Privacy governance charter; Scope determination memo; Definitions register; Applicability assessment (CCPA/CPRA thresholds),,
Chapter 1. California Consumer Privacy Act Regulations,Article 1. General Provisions,§ 7002,Restrictions on the Collection and Use of Personal Information,"Codifies necessity and proportionality standards: a business may collect, use, retain, and share PI only to the extent reasonably necessary and proportionate to achieve the stated purposes. Prohibits uses that are incompatible with the context in which PI was collected unless the business provides new notice and, where required, obtains consent. Requires appropriate safeguards for sensitive personal information and alignment of retention periods with disclosed purposes.","1) Are purposes documented and tied to specific data elements (data‑purpose maps)?
2) Are retention schedules documented and enforced for each category of PI and sensitive PI?
3) Are incompatible uses blocked unless new notice/consent obtained?
4) Are safeguards for sensitive PI implemented and reviewed?",Privacy governance charter; Scope determination memo; Definitions register; Applicability assessment (CCPA/CPRA thresholds),,
Chapter 1. California Consumer Privacy Act Regulations,Article 1. General Provisions,§ 7003,Requirements for Disclosures and Communications to Consumers,"Prescribes how disclosures must be presented: easy to read, understandable, and reasonably accessible to consumers with disabilities. Requires disclosures and key links in the languages the business ordinarily uses with consumers and across formats (web, mobile, physical). Bars deceptive or manipulative presentation (e.g., dark patterns) and requires conspicuous placement and consistency across consumer touchpoints.","1) Are disclosures readable, accessible (WCAG), and available in all relevant languages and channels?
2) Are links conspicuous and consistently placed across web/app/physical interfaces?
3) Are dark patterns prohibited in UX reviews and tested periodically?",Privacy governance charter; Scope determination memo; Definitions register; Applicability assessment (CCPA/CPRA thresholds),,
Chapter 1. California Consumer Privacy Act Regulations,Article 1. General Provisions,§ 7004,Requirements for Methods for Submitting CCPA Requests and Obtaining Consumer Consent,"Sets standards for designated methods to submit requests (to know, delete, correct, opt‑out, limit) that are easy to execute, secure, and do not unduly burden consumers. Details how valid consent must be obtained—freely given, specific, informed, unambiguous—and easily revocable. Prohibits dark patterns and requires parity of friction between opting in and opting out.","1) Are at least the required request channels offered based on how consumers interact with the business?
2) Are request flows secure, user‑friendly, and provide confirmations/receipts?
3) Is consent captured in line with validity criteria and equally easy to withdraw?
4) Do design reviews check parity of friction and absence of dark patterns?",Privacy governance charter; Scope determination memo; Definitions register; Applicability assessment (CCPA/CPRA thresholds),,
Chapter 1. California Consumer Privacy Act Regulations,Article 2. Required Disclosures to Consumers,§ 7010,Overview of Required Disclosures,"Summarizes the suite of consumer disclosures required under the CCPA/CPRA framework and how they interrelate (privacy policy, notice at collection, notices of rights, financial incentive notice). Clarifies when each disclosure must be provided and the level of detail expected.","1) Are all required disclosures present (privacy policy, notice at collection, opt‑out/limit notices, financial incentive notice)?
2) Is timing correct (at/before collection, always‑available links, program enrollment)?
3) Is the level of detail consistent across disclosures?",Consumer Privacy Notice; Notice at Collection (web/app/HR/vendor); WCAG conformance evidence; Version control of notices,,
Chapter 1. California Consumer Privacy Act Regulations,Article 2. Required Disclosures to Consumers,§ 7011,Privacy Policy,"Specifies mandatory content and presentation for a compliant privacy policy, including categories of PI collected, purposes, retention periods, recipients (sell/share/disclose), consumer rights, and request methods. Requires accessibility, language consistency, last‑updated date, and explanation of opt‑out preference signals processing.","1) Does the policy enumerate categories of PI/sensitive PI, purposes, and retention periods?
2) Are sell/share/disclosure recipients and rights described with submission methods?
3) Is the policy accessible (WCAG), localized, dated, and accurate on OOPS (opt‑out preference signals) processing?",Consumer Privacy Notice; Notice at Collection (web/app/HR/vendor); WCAG conformance evidence; Version control of notices,,
Chapter 1. California Consumer Privacy Act Regulations,Article 2. Required Disclosures to Consumers,§ 7012,Notice at Collection of Personal Information,"Requires notice at or before collection describing categories of PI, purposes, sell/share status, retention periods/criteria, and a link to the privacy policy. Must be available wherever collection occurs (web, app, in‑person).","1) Is the notice presented at/before collection across all channels?
2) Does it list PI categories, purposes, retention, and sell/share status with a link to the privacy policy?
3) Is the notice tailored for each collection point (web, mobile, offline)?",Consumer Privacy Notice; Notice at Collection (web/app/HR/vendor); WCAG conformance evidence; Version control of notices,,
Chapter 1. California Consumer Privacy Act Regulations,Article 2. Required Disclosures to Consumers,§ 7013,Notice of Right to Opt-out of Sale/Sharing and the “Do Not Sell or Share My Personal Information” Link,"Requires a clear, conspicuous notice of a consumer’s right to opt‑out of sale/sharing, including a labeled link (or alternative consolidated link). Businesses must honor opt‑out requests, including via opt‑out preference signals, and may not add friction.","1) Is a “Do Not Sell or Share My Personal Information” (or consolidated) link clearly displayed?
2) Are opt‑outs honored immediately, including via OOPS signals?
3) Are UX patterns free of friction or delay for opting out?",Consumer Privacy Notice; Notice at Collection (web/app/HR/vendor); WCAG conformance evidence; Version control of notices,,
Chapter 1. California Consumer Privacy Act Regulations,Article 2. Required Disclosures to Consumers,§ 7014,Notice of Right to Limit and the “Limit the Use of My Sensitive Personal Information” Link,Requires a prominent notice and interactive mechanism enabling consumers to limit use/disclosure of sensitive PI when used beyond permitted purposes; defines presentation and processing standards.,"1) Is a “Limit the Use of My Sensitive Personal Information” (or consolidated) link provided where applicable?
2) Are limit requests authenticated, processed promptly, and propagated to vendors?
3) Is use/disclosure of sensitive PI restricted to permitted purposes unless limited by the consumer?",Consumer Privacy Notice; Notice at Collection (web/app/HR/vendor); WCAG conformance evidence; Version control of notices,,
