Reference,Description,Initial Assessment Points,Evidence/Artifact,Clause,Findings,Status
A&A-01.1,"Establish, document, approve, communicate, apply, evaluate and maintain audit and assurance policies and procedures and standards. Review and update the policies and procedures at least annually.","1. Are audit and assurance policies, procedures, and standards established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Audit & assurance policy and procedures; Annual review/approval records for audit program; Internal/external audit plans and reports; Corrective Action Plan (CAPA) tracker and closure evidence; Communications to stakeholders on assurance results; Relevant policy/standard document with version history,Audit and Assurance,,
A&A-01.2,"Establish, document, approve, communicate, apply, evaluate and maintain audit and assurance policies and procedures and standards. Review and update the policies and procedures at least annually.","1. Are audit and assurance policies, procedures, and standards reviewed and updated at least annually?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Audit & assurance policy and procedures; Annual review/approval records for audit program; Internal/external audit plans and reports; Corrective Action Plan (CAPA) tracker and closure evidence; Communications to stakeholders on assurance results; Relevant policy/standard document with version history,Audit and Assurance,,
A&A-02.1,Conduct independent audit and assurance assessments according to relevant standards at least annually.,"1. Are independent audit and assurance assessments conducted according to relevant standards at least annually?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Audit & assurance policy and procedures; Annual review/approval records for audit program; Internal/external audit plans and reports; Corrective Action Plan (CAPA) tracker and closure evidence; Communications to stakeholders on assurance results; Relevant policy/standard document with version history,Audit and Assurance,,
A&A-03.1,Perform independent audit and assurance assessments according to risk-based plans and policies.,"1. Are independent audit and assurance assessments performed according to risk-based plans and policies?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Audit & assurance policy and procedures; Annual review/approval records for audit program; Internal/external audit plans and reports; Corrective Action Plan (CAPA) tracker and closure evidence; Communications to stakeholders on assurance results; Relevant policy/standard document with version history; Risk assessment report and treatment plan,Audit and Assurance,,
A&A-04.1,"Verify compliance with all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit.","1. Is compliance verified regarding all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Audit & assurance policy and procedures; Annual review/approval records for audit program; Internal/external audit plans and reports; Corrective Action Plan (CAPA) tracker and closure evidence; Communications to stakeholders on assurance results; Relevant policy/standard document with version history,Audit and Assurance,,
A&A-05.1,"Define and implement an audit management process to support audit planning, risk analysis, security control assessment, conclusion, remediation schedules, report generation, and review of past reports and supporting evidence.","1. Is an audit management process defined and implemented to support audit planning, risk analysis, security control assessments, conclusions, remediation schedules, report generation, and reviews of past reports and supporting evidence?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Audit & assurance policy and procedures; Annual review/approval records for audit program; Internal/external audit plans and reports; Corrective Action Plan (CAPA) tracker and closure evidence; Communications to stakeholders on assurance results; Relevant policy/standard document with version history; Risk assessment report and treatment plan,Audit and Assurance,,
A&A-06.1,"Establish, document, approve, communicate, apply, evaluate and maintain a risk-based corrective action plan to remediate audit findings, review and report remediation status to relevant stakeholders.","1. Is a risk-based corrective action plan to remediate audit findings established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Audit & assurance policy and procedures; Annual review/approval records for audit program; Internal/external audit plans and reports; Corrective Action Plan (CAPA) tracker and closure evidence; Communications to stakeholders on assurance results; Relevant policy/standard document with version history; Risk assessment report and treatment plan,Audit and Assurance,,
A&A-06.2,"Establish, document, approve, communicate, apply, evaluate and maintain a risk-based corrective action plan to remediate audit findings, review and report remediation status to relevant stakeholders.","1. Is the remediation status of audit findings reviewed and reported to relevant stakeholders?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Audit & assurance policy and procedures; Annual review/approval records for audit program; Internal/external audit plans and reports; Corrective Action Plan (CAPA) tracker and closure evidence; Communications to stakeholders on assurance results; Relevant policy/standard document with version history; Risk assessment report and treatment plan,Audit and Assurance,,
AIS-01.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for application security to provide guidance to the appropriate planning, delivery and support of the organization’ s application security capabilities. Review and update the policies and procedures at least annually.","1. Are application security policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained to guide appropriate planning, delivery, and support of the organization's application security capabilities?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Application security policy and SDL/SDLC standards; Secure coding guidelines and training records; SAST/DAST results and code review logs; Penetration testing reports for applications; Change management records (dev/test/prod); Relevant policy/standard document with version history,"Application &
Interface Security",,
AIS-01.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for application security to provide guidance to the appropriate planning, delivery and support of the organization’ s application security capabilities. Review and update the policies and procedures at least annually.","1. Are application security policies and procedures reviewed and updated at least annually?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Application security policy and SDL/SDLC standards; Secure coding guidelines and training records; SAST/DAST results and code review logs; Penetration testing reports for applications; Change management records (dev/test/prod); Relevant policy/standard document with version history,"Application &
Interface Security",,
AIS-02.1,"Establish, document and maintain baseline requirements for securing different applications.","1. Are baseline requirements to secure different applications established, documented, and maintained?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Application security policy and SDL/SDLC standards; Secure coding guidelines and training records; SAST/DAST results and code review logs; Penetration testing reports for applications; Change management records (dev/test/prod); Relevant policy/standard document with version history,"Application &
Interface Security",,
AIS-03.1,"Define and implement technical and operational metrics in alignment with business objectives, security requirements, and compliance obligations.","1. Are technical and operational metrics defined and implemented according to business objectives, security requirements, and compliance obligations?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Application security policy and SDL/SDLC standards; Secure coding guidelines and training records; SAST/DAST results and code review logs; Penetration testing reports for applications; Change management records (dev/test/prod); Relevant policy/standard document with version history,"Application &
Interface Security",,
AIS-04.1,"Define and implement a SDLC process for application design, development, deployment, and operation in accordance with security requirements defined by the organization. 11 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Is an SDLC process defined and implemented for application design, development, deployment, and operation per organizationally designed security requirements?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Application security policy and SDL/SDLC standards; Secure coding guidelines and training records; SAST/DAST results and code review logs; Penetration testing reports for applications; Change management records (dev/test/prod); Relevant policy/standard document with version history,"Application &
Interface Security",,
AIS-05.1,"Implement a testing strategy, including criteria for acceptance of new information systems, upgrades and new versions, which provides application security assurance and maintains compliance while enabling organizational speed of delivery goals. Automate when applicable and possible.","1. Does the testing strategy outline criteria to accept new information systems, upgrades, and new versions while ensuring application security, compliance adherence, and organizational speed of delivery goals?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Application security policy and SDL/SDLC standards; Secure coding guidelines and training records; SAST/DAST results and code review logs; Penetration testing reports for applications; Change management records (dev/test/prod); Relevant policy/standard document with version history,"Application &
Interface Security",,
