Clause,Requirement,Description,Reference,Validation Criteria (What to Check),Initial Assessment Points,Evidence/Artifact,Findings,Status
Scope & Applicability,Public-facing generative AI services must comply,"Applies to services generating text, image, audio, video content for the public within China. Internal/non-public uses are exempt. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 2,"Confirm the AI system is publicly accessible within China and offers generative capabilities such as text, image, audio, or video creation.","1. Confirm the AI system is publicly accessible within china?
2. Offers generative capabilities such as text, image, audio, or video creation.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Governance Principles,Content Alignment,"Content must align with Socialist Core Values. Must not include terrorism, extremism, fake news, or state-subverting material. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 4(1),"Ensure that moderation mechanisms are in place to block prohibited content, and verify logs of filtered content types.","1. Ensure that moderation mechanisms are in place to block prohibited content,?
2. Verify logs of filtered content types.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Governance Principles,No Discrimination,"Must avoid bias in model training or outputs related to ethnicity, gender, region, etc. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 4(2),Audit model outputs and training datasets for demographic bias; ensure fairness metrics are documented and regularly reviewed.,"1. Audit model outputs?
2. Trtraining datasets for demographic bias?
3. Ensure fAIrness metrics are documented?
4. Regularly reviewed.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Governance Principles,Ethics and IP Respect,"Respect IP rights, commercial ethics. No misuse of algorithms for unfair competition or monopoly. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 4(3),Verify that training datasets are lawfully sourced and intellectual property rights are not violated.,"1. Verify that trtraining datasets are lawfully sourced?
2. Intellectual property rights are not violated.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Governance Principles,Personal Rights Protection,"Must not infringe on mental/physical health, privacy, image rights, or other personal interests. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 4(4),Review privacy impact assessments and confirm mechanisms are in place to safeguard personal rights and prevent harm.,"1. Review privacy impact assessments?
2. Confirm mechanisms are in place to safeguard personal rights?
3. Prevent harm.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Governance Principles,Transparency & Accuracy,"Providers must ensure transparency, and improve accuracy and reliability of generated content. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 4(5),"Assess the presence of transparency tools such as explanation interfaces, confidence scores, and metadata tagging.","1. Assess the presence of transparency tools such as explanation interfaces, confidence scores,?
2. Metadata tagging.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Data Governance,Lawful Data Use,"Training must use legally sourced data. Consent required for personal data. Must not infringe IP rights. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 7,Confirm that training data is obtained from legal sources with necessary consents and that no copyrighted content is used unlawfully.,"1. Confirm that trtraining data is obtAIned from legal sources with necessary consents?
2. That no copyrighted content is used unlawfully.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Data Governance,Annotation Standards,"Data labeling must follow clear, accurate rules. Annotators must be trained and supervised. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 8,"Evaluate the data annotation process including labeling guidelines, quality assurance sampling, and annotator training.","1. Evaluate the data annotation process including labeling guidelines, quality assurance sampling,?
2. Annotator trtraining.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Service Responsibilities,Provider Legal Duties,"Providers are treated as content producers and must sign service contracts with users. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 9,"Check that service contracts are in place with users, defining legal responsibilities of both provider and user.","1. Check that service contracts are in place with users, defining legal responsibilities of both provider?
",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Service Responsibilities,Target Audience Disclosure,"Clearly disclose user types, use cases, and guard against overuse by minors. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 10,"Verify the service includes disclosures of intended users, usage scenarios, and features to prevent misuse by minors.","1. Verify the service includes disclosures of intended users, usage scenarios,?
2. Features to prevent misuse by minors.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
