Reference,Clause,Description,Assessment Question,Evidence/Artifact
Sec. 1,"Short title, extent and commencement","Digital Personal Data Protection Act, 2023; extends to the whole of India; applies to digital personal data within India and outside India if in connection with offering goods or services to Data Principals in India. Commencement as notified by Central Government.","1. Has the organization determined if its activities fall under the territorial and extraterritorial scope of the Act?
2. Has commencement notification compliance been verified?",Board/Management Approval Minutes; Compliance Scope Assessment Document
Sec. 2,Definitions,Includes definitions for: Personal Data; Data; Processing; Data Principal; Data Fiduciary; Data Processor; Consent; Consent Manager; Child (under 18 years); Data Protection Board of India; Person; Record; Specified purpose; De-identified data; Profiling; and other defined terms under the Act.,"1. Are internal policies aligned with statutory definitions?
2. Are responsibilities mapped to the defined roles (Fiduciary, Processor, Consent Manager)?",Data Protection Policy; Roles & Responsibilities Mapping; Organization Chart
Sec. 3,Application of Act,"Applies to: (a) digital personal data processed in India; (b) personal data collected in non-digital form and digitised; (c) processing outside India if in connection with offering goods or services to Data Principals in India. Does not apply to: (i) personal/household use; (ii) personal data made publicly available by the Data Principal; (iii) processing for research, archiving or statistical purposes subject to prescribed safeguards and not used to make decisions about specific individuals.","1. Has the organization assessed whether each processing activity is covered or exempt under Section 3?
2. Are safeguards for research/statistics implemented and documented such that data is not used for decisions about individuals?",Applicability Assessment Report; Exemptions Register; Research/Archiving Safeguard Policy
Sec. 4,Processing only for lawful purpose,Processing of personal data only for lawful purposes and only when: (i) consent is given by the Data Principal; or (ii) processing is for certain legitimate uses specified in Section 7.,1. Is each processing activity mapped to valid consent or to a specific legitimate use under Section 7?,Record of Processing Activities (RoPA); Legal Basis Register; Purpose–Basis Mapping
Sec. 5,Notice,"Before or at the time of seeking consent, the Data Fiduciary shall provide notice in clear, itemised language describing: personal data to be processed; specific purposes; manner of withdrawal of consent; grievance redressal mechanism; rights of the Data Principal; and contact details of the Data Protection Officer or Consent Manager.","1. Are privacy notices provided in clear, itemised language and, where required, in local languages?
2. Do notices include withdrawal procedures, grievance mechanism, and DPO/Consent Manager contact?",Published Privacy Notices (English and local languages); Notice Delivery Records; Grievance Procedure; DPO/Consent Manager Contact Page
Sec. 6,Consent,"Consent shall be free, specific, informed, unconditional and unambiguous, signified by a clear affirmative action for the specified purpose. Consent shall be revocable and withdrawal shall be as easy as giving consent.","1. Does the consent mechanism meet all statutory qualities (free, specific, informed, unambiguous, affirmative)?
2. Is there a functioning process and UI to withdraw consent at any time?",Consent Policy; Consent UI Screenshots; Consent Logs; Withdrawal Logs
Sec. 7,Certain legitimate uses,"Processing of personal data without consent is permitted for certain legitimate uses including: (a) where the Data Principal voluntarily provides personal data and does not indicate objection to its use for the specified purpose; (b) compliance with any judgment, decree or order of a court or tribunal, or with law; (c) performance of any function by the State or provision of any service or benefit by the State; (d) responding to medical emergencies, disasters or threats to public order; (e) employment-related purposes, as applicable.","1. Are all non-consent processing activities explicitly documented with the applicable legitimate use?
2. Are employment-related processing activities justified and scoped under Section 7?",Legitimate Use Justification Memos; Copies of Legal/Judicial Orders; Government Benefit/Service Processing SOP; Emergency Processing SOP; Employment Processing Policy
Sec. 8,General obligations of Data Fiduciary,"Data Fiduciary shall: (i) process personal data only for the purpose for which it was collected or other lawful purpose; (ii) collect only as necessary (data minimization); (iii) ensure accuracy when personal data is likely to be used for making decisions that affect the Data Principal or for disclosure; (iv) implement reasonable security safeguards to prevent personal data breach; (v) notify the Board and affected Data Principals in case of personal data breach; (vi) erase personal data once the purpose is fulfilled or consent withdrawn, unless retention is required by law; (vii) engage Data Processors only under a valid contract.","1. Are security safeguards implemented and tested?
2. Are retention/erasure controls enforced post-purpose completion or withdrawal?
3. Are processor contracts in place with required clauses?",Information Security Policy; Data Minimization SOP; Accuracy Check Procedures; Incident Response Plan; Breach Notification Templates; Deletion/Retention Policy; Processor Contracts
Sec. 9,Processing of personal data of children,"Processing personal data of a child requires verifiable consent of the parent or lawful guardian. Processing that is likely to be detrimental to the well-being of a child is prohibited. Behavioural tracking, targeted advertising or any monitoring directed at children is prohibited. The Central Government may notify categories of Data Fiduciaries permitted to process children’s data subject to conditions.","1. Is verifiable parental/guardian consent collected and recorded for child users?
2. Are tracking, behavioural monitoring and targeted advertising disabled for children?",Age-Gating/Verification Procedure; Parental Consent Records; No-Ads-to-Children Policy; Monitoring/Tracking Controls; Child Data Segregation Controls
Sec. 10,Additional obligations of Significant Data Fiduciary,"The Central Government may notify a Data Fiduciary or class as Significant Data Fiduciaries (SDF) based on factors such as volume and sensitivity of personal data processed, risk to rights of Data Principals, or impact on electoral democracy, security of the State or public order. An SDF shall appoint a Data Protection Officer (based in India) as the point of contact for Data Principals, conduct Data Protection Impact Assessments, undertake periodic audits, and appoint an independent data auditor.","1. If designated as an SDF, has the organization appointed an India-based DPO and completed DPIAs for high-risk processing?
2. Are periodic independent audits performed with reports retained?",Government SDF Notification (if any); DPO Appointment Letter; DPIA Register and Reports; Independent Data Audit Reports; Risk Register
