Clause,Reference,Description,Initial Assessment Points,Findings,Status,Evidence/Artifact
Art. 1(1),"Regulation (EU) 2016/679, Art. 1(1)","Rules to protect natural persons in relation to processing; and rules on free movement of personal data.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Is GDPR the baseline for all processing and intra‑EU data movement?,,,"General GDPR compliance evidence (policies, procedures, logs, reports)"
Art. 1(2),"Regulation (EU) 2016/679, Art. 1(2)","Protects fundamental rights and freedoms, especially data protection.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Do policies/DPIAs uphold fundamental rights and freedoms?,,,"DSR procedure, Rights request logs, Response templates"
Art. 1(3),"Regulation (EU) 2016/679, Art. 1(3)","Free movement of personal data within the Union shall not be restricted for data‑protection reasons.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Are intra‑EU transfers not restricted beyond GDPR requirements?,,,"SCCs, Binding Corporate Rules (BCRs), Transfer impact assessments"
Art. 2(1),"Regulation (EU) 2016/679, Art. 2(1)","Applies to automated processing and non‑automated processing in a filing system.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Have all automated/filing‑system processes been mapped into scope?,,,"General GDPR compliance evidence (policies, procedures, logs, reports)"
Art. 2(2)(a),"Regulation (EU) 2016/679, Art. 2(2)(a)","Excludes activities outside scope of Union law.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Are such activities identified and excluded?,,,"General GDPR compliance evidence (policies, procedures, logs, reports)"
Art. 2(2)(b),"Regulation (EU) 2016/679, Art. 2(2)(b)","Excludes CFSP activities by Member States.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Are CFSP activities segregated from GDPR scope?,,,"General GDPR compliance evidence (policies, procedures, logs, reports)"
Art. 2(2)(c),"Regulation (EU) 2016/679, Art. 2(2)(c)","Excludes purely personal or household activities by natural persons.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Are personal/household activities excluded from corporate processes?,,,"General GDPR compliance evidence (policies, procedures, logs, reports)"
Art. 2(2)(d),"Regulation (EU) 2016/679, Art. 2(2)(d)","Excludes processing by competent authorities for criminal matters (Directive (EU) 2016/680).. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Are law‑enforcement processes routed under Directive (EU) 2016/680?,,,"General GDPR compliance evidence (policies, procedures, logs, reports)"
Art. 2(3),"Regulation (EU) 2016/679, Art. 2(3)","Does not apply to EU institutions (separate Union rules).. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Are relevant EU‑institution rules identified when applicable?,,,"General GDPR compliance evidence (policies, procedures, logs, reports)"
Art. 2(4),"Regulation (EU) 2016/679, Art. 2(4)","Without prejudice to Directive 2000/31/EC (Articles 12–15).. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Are e‑Commerce Directive intermediary liability rules considered?,,,"General GDPR compliance evidence (policies, procedures, logs, reports)"
