Category,Clause,Reference,Description,Audit Questions,Evidence/Artifact,Level 1 Implementation (example),Level 2 Implementation (example),Level 3 Implementation (example)
01.0 Access Control,01.01 Business Requirement for Access Control,01.a Access Control Policy,"The entity must establish and maintain an access control policy that defines how users and systems are authorized to access information assets. The policy should outline principles of least privilege, segregation of duties, and role-based access. It must be formally approved, communicated to stakeholders, and periodically reviewed to ensure continued alignment with organizational and regulatory requirements.","1. Is there a formally documented access control policy approved by management?
2. Does the policy enforce principles of least privilege and segregation of duties?
3. Has the policy been communicated to all relevant stakeholders?
4. Is the policy periodically reviewed and updated to reflect current risks and regulatory requirements?",Access control policy; User registration/de-registration logs; Privileged access request forms; Access review reports,"Develop, document, and maintain an access control policy that defines how access is authorized and managed.","Expand the access control policy to include enforcement mechanisms, mapping to regulatory requirements, and documented exceptions management.","Integrate access control policy enforcement with automated tools, continuous monitoring, and alignment with enterprise risk management practices."
01.0 Access Control,01.02 Authorized Access to Information Systems,01.b User Registration,"The entity must implement a formal user registration process to grant access rights. This includes verifying user identity, documenting approvals, assigning access based on job role, and recording the authorization. Access requests must be traceable to management approval and logged for audit purposes.","1. Is there a formal process for user registration before granting access rights?
2. Are user identities verified and approvals documented before access is granted?
3. Are access rights assigned based on job role and business need?
4. Are access requests logged and traceable to management approval?",Access control policy; User registration/de-registration logs; Privileged access request forms; Access review reports,Implement a formal user registration process with documented approvals and identity verification.,Automate the user registration workflow to ensure approvals are electronically tracked and linked to HR or identity systems.,"Integrate user registration with centralized identity governance platforms, supporting real-time provisioning, de-provisioning, and audit reporting."
01.0 Access Control,01.02 Authorized Access to Information Systems,01.c Privilege Management,"The entity must enforce privilege management procedures to ensure that elevated or administrative access is only granted when justified by business needs. Privileged accounts must be tightly controlled, monitored, and periodically reviewed. Temporary or emergency access must be time-bound and revoked when no longer required.","1. Are privileged accounts only granted based on business justification?
2. Are privileged accounts tightly controlled and monitored for unusual activity?
3. Is privileged access periodically reviewed to confirm ongoing need?
4. Is temporary or emergency access time-bound and revoked when no longer required?",Privileged access management logs; RBAC matrix; Admin account monitoring reports,"Restrict and document the allocation of privileged accounts, reviewing them periodically.",Implement centralized privileged access management (PAM) tools with approval workflows and detailed logging.,"Enforce just-in-time (JIT) privileged access with session recording, continuous monitoring, and automated revocation when not in use."
01.0 Access Control,01.02 Authorized Access to Information Systems,01.d User Password Management,"The entity must enforce password management practices to protect system access. This includes requiring strong password complexity, secure distribution mechanisms, periodic changes, and prevention of reuse. Automated controls should be in place to enforce these requirements across all relevant systems.","1. Are password complexity requirements enforced across all systems?
2. Are secure mechanisms used to distribute and store passwords?
3. Are users required to change passwords periodically?
4. Is password reuse prevented through automated controls?",Access control policy; User registration/de-registration logs; Privileged access request forms; Access review reports,"Enforce password rules requiring complexity, periodic changes, and prevent reuse.","Apply enterprise-wide password management systems enforcing advanced rules, password vaulting, and automated resets.","Transition to strong authentication mechanisms (e.g., multi-factor, passwordless) across critical systems, minimizing reliance on traditional passwords."
01.0 Access Control,01.02 Authorized Access to Information Systems,01.e Review of User Access Rights,"The entity must conduct regular reviews of user access rights to confirm that assigned access remains appropriate. Access reviews should be documented, approved by management, and any unnecessary or unauthorized access must be revoked promptly. The frequency of reviews should align with risk and regulatory requirements.","1. Are regular reviews of user access rights performed?
2. Are access reviews documented and approved by management?
3. Is inappropriate or unauthorized access revoked promptly?
4. Is the frequency of access reviews aligned with risk and regulatory requirements?",Access control policy; User registration/de-registration logs; Privileged access request forms; Access review reports,"Conduct periodic user access reviews to ensure appropriateness, documenting results and revoking unnecessary access.","Conduct semi-automated access reviews with workflow support, linking approvals to system owners and managers.",Implement continuous access certification with real-time alerts for inappropriate access and integration into enterprise IAM/GRC tools.
01.0 Access Control,01.03 User Responsibilities,01.f Password Use,"The entity must define and communicate roles and responsibilities related to information security. Job descriptions should include security duties, and personnel must understand their accountability for protecting organizational assets.","1. Are security roles and responsibilities defined in job descriptions?
2. Are responsibilities communicated to employees and contractors?
3. Is accountability for security activities formally assigned?",Password policy; MFA configuration evidence; Password change logs; Authentication system settings,The organization documents roles and responsibilities for information security in job descriptions and governance policies. Employees and contractors are made aware of their duties during onboarding and role changes.,"Security responsibilities are systematically integrated into HR systems, ensuring that they are visible in contracts and linked to performance objectives. Managers verify that responsibilities are understood and acknowledged.",The organization employs automated tools to monitor the execution of assigned responsibilities and produces reports for management review. Compliance with responsibilities is continuously tracked and forms part of ongoing role evaluations.
01.0 Access Control,01.03 User Responsibilities,01.g Unattended User Equipment,"The entity must conduct background verification checks on candidates for employment, contractors, and third-party users in line with relevant laws and business requirements. Screening must be completed before access is granted.","1. Are background checks performed before granting access to sensitive information?
2. Are screening results documented and retained per policy?
3. Do screening practices comply with applicable laws and regulations?",Access control policy; User registration/de-registration logs; Privileged access request forms; Access review reports,The organization performs background checks before granting employment or system access. Screening results are recorded and verified for completeness.,"Screening requirements are standardized across roles, with policies defining scope, frequency, and documentation retention. All completed checks are retained in HR systems for reference.","Screening processes are integrated with identity and access management systems, automatically flagging expired or missing checks. Continuous monitoring ensures only screened individuals maintain access."
01.0 Access Control,01.03 User Responsibilities,01.h Clear Desk and Clear Screen Policy,"The entity must ensure employees, contractors, and third-party users agree to terms and conditions that include information security expectations prior to being granted access. Evidence of acceptance must be retained.","1. Are users required to acknowledge information security terms and conditions?
2. Are these terms included in employment or contractor agreements?
3. Is evidence of acceptance documented and retained?",Access control policy; User registration/de-registration logs; Privileged access request forms; Access review reports,"The organization requires all employees, contractors, and third-party users to sign agreements containing information security clauses. Evidence of acceptance is retained in personnel files.",A centralized repository is maintained to track and store acknowledgments of terms and conditions. Security clauses are reviewed regularly and updated to reflect new risks or regulatory requirements.,System access is automatically linked to acknowledgment of security terms and conditions. Non-compliance or expired agreements trigger alerts and result in automated access suspension until rectified.
01.0 Access Control,01.04 Network Access Control,01.j Network Access Control Policy,Management must require personnel to apply security in accordance with established policies and procedures and must enforce accountability within their teams. Managers are responsible for communicating responsibilities and monitoring adherence.,"1. Do managers communicate and enforce security responsibilities?
2. Is there evidence of managerial oversight in implementing security controls?
3. Are managers held accountable for compliance gaps within their teams?",Access control policy; User registration/de-registration logs; Privileged access request forms; Access review reports,Management communicates security responsibilities to staff and ensures adherence to policies. Managers are accountable for their teams’ compliance with documented procedures.,"Evidence of managerial oversight, such as meeting notes and performance reviews, is maintained to show enforcement of responsibilities. Security performance metrics are monitored by leadership.","Management responsibilities are fully integrated into governance, risk, and compliance systems. Real-time dashboards track team compliance, with accountability tied directly to manager performance appraisals."
01.0 Access Control,01.04 Network Access Control,01.k User Authentication for External Connections,The entity must ensure all personnel receive appropriate security awareness training and regular updates on policies and procedures relevant to their roles. Training effectiveness and completion must be tracked.,"1. Is security awareness training provided to all personnel?
2. Are training sessions documented with attendance records?
3. Is training updated regularly to reflect current risks and policies?",Access control policy; User registration/de-registration logs; Privileged access request forms; Access review reports,All employees receive baseline security awareness training at the time of onboarding. Attendance is tracked to verify that all staff have completed the training.,"Role-specific training modules are provided to employees handling sensitive data or critical systems. Records are maintained, and periodic refresher courses are required.","The training program uses continuous learning methods such as simulations, quizzes, and phishing exercises. Automated reminders and compliance dashboards track participation and performance."
