Reference,Clause,Description,Initial Assessment Points,Findings,Status
C.4,Context of the Organization,"Clause 4 requires defining context, stakeholders, scope, and the ISMS process model. Outputs must be maintained as documented information and kept current to inform risk management and control selection.",–,,
C.4.1,Understanding the organization and its context,"Define internal and external issues that affect the ISMS’s purpose, outcomes, and ability to achieve intended results. Use structured environmental scanning (e.g., PESTLE, industry/technology/legal trends) and document assumptions and constraints. Keep this context current and feed it into risk assessment, scope, and control selection.",1. Has the organization identified internal/external issues affecting ISMS?,,
C.4.1,Understanding the organization and its context,"Define internal and external issues that affect the ISMS’s purpose, outcomes, and ability to achieve intended results. Use structured environmental scanning (e.g., PESTLE, industry/technology/legal trends) and document assumptions and constraints. Keep this context current and feed it into risk assessment, scope, and control selection.",2. How often is context reviewed?,,
C.4.1,Understanding the organization and its context,"Define internal and external issues that affect the ISMS’s purpose, outcomes, and ability to achieve intended results. Use structured environmental scanning (e.g., PESTLE, industry/technology/legal trends) and document assumptions and constraints. Keep this context current and feed it into risk assessment, scope, and control selection.",3. Are business and security strategies aligned?,,
C.4.2,Understanding the needs and expectations of interested parties,"Identify interested parties (internal, external, regulatory) relevant to information security and determine their applicable requirements. Record specific compliance, contractual, and stakeholder obligations and monitor changes so they are reflected in controls and KPIs.",1. Who are the interested parties relevant to ISMS?,,
C.4.2,Understanding the needs and expectations of interested parties,"Identify interested parties (internal, external, regulatory) relevant to information security and determine their applicable requirements. Record specific compliance, contractual, and stakeholder obligations and monitor changes so they are reflected in controls and KPIs.",2. How are their requirements identified and updated?,,
C.4.2,Understanding the needs and expectations of interested parties,"Identify interested parties (internal, external, regulatory) relevant to information security and determine their applicable requirements. Record specific compliance, contractual, and stakeholder obligations and monitor changes so they are reflected in controls and KPIs.",3. Are these needs documented and communicated?,,
C.4.3,Determining the scope of the ISMS,"Establish and document the ISMS scope considering organizational context, interfaces, dependencies, and locations, processes, and information assets included. Justify any exclusions, particularly for Annex A controls, and ensure boundaries are clear for audits and assurance.",1. Is ISMS scope documented with boundaries and justification?,,
C.4.3,Determining the scope of the ISMS,"Establish and document the ISMS scope considering organizational context, interfaces, dependencies, and locations, processes, and information assets included. Justify any exclusions, particularly for Annex A controls, and ensure boundaries are clear for audits and assurance.",2. Does the scope consider interfaces/dependencies?,,
C.4.3,Determining the scope of the ISMS,"Establish and document the ISMS scope considering organizational context, interfaces, dependencies, and locations, processes, and information assets included. Justify any exclusions, particularly for Annex A controls, and ensure boundaries are clear for audits and assurance.",3. Is scope communicated internally and externally?,,
C.4.4,Information security management system,"Establish, implement, maintain, and continually improve the ISMS including processes and their interactions. Define process owners, inputs/outputs, criteria, resources, and performance measures; ensure integration with business processes.",1. Is the ISMS established in line with ISO 27001?,,
C.4.4,Information security management system,"Establish, implement, maintain, and continually improve the ISMS including processes and their interactions. Define process owners, inputs/outputs, criteria, resources, and performance measures; ensure integration with business processes.",2. Is continual improvement demonstrated?,,
C.4.4,Information security management system,"Establish, implement, maintain, and continually improve the ISMS including processes and their interactions. Define process owners, inputs/outputs, criteria, resources, and performance measures; ensure integration with business processes.",3. Is ISMS effectiveness measured?,,
C.5,Leadership,"Clause 5 focuses on management commitment, policy, and assignment of roles/authorities to drive the ISMS.",–,,
C.5.1,Leadership and commitment,"Top management demonstrates leadership and commitment by integrating ISMS requirements into business processes, ensuring resources, promoting a security culture, and removing obstacles. They assign authorities and take accountability for ISMS effectiveness.",1. How does top management show leadership in ISMS?,,
C.5.1,Leadership and commitment,"Top management demonstrates leadership and commitment by integrating ISMS requirements into business processes, ensuring resources, promoting a security culture, and removing obstacles. They assign authorities and take accountability for ISMS effectiveness.",2. Are resources provided for ISMS?,,
C.5.1,Leadership and commitment,"Top management demonstrates leadership and commitment by integrating ISMS requirements into business processes, ensuring resources, promoting a security culture, and removing obstacles. They assign authorities and take accountability for ISMS effectiveness.",3. Is ISMS integrated into business processes?,,
C.5.2,Information security policy,"Define, approve, and communicate an information security policy appropriate to the organization, aligned with strategic direction, including objectives, commitment to requirements and continual improvement. Make it available to interested parties as appropriate.",1. Is an ISMS policy documented and approved?,,
C.5.2,Information security policy,"Define, approve, and communicate an information security policy appropriate to the organization, aligned with strategic direction, including objectives, commitment to requirements and continual improvement. Make it available to interested parties as appropriate.",2. Is the policy communicated and accessible?,,
C.5.2,Information security policy,"Define, approve, and communicate an information security policy appropriate to the organization, aligned with strategic direction, including objectives, commitment to requirements and continual improvement. Make it available to interested parties as appropriate.",3. Is the policy reviewed periodically?,,
C.5.3,"Organizational roles, responsibilities, and authorities","Assign and communicate information security roles and responsibilities (e.g., risk ownership, control operation, incident response). Ensure authorities are defined, understood, and evidenced in org charts, job descriptions, or RACI matrices.",1. Are ISMS roles and responsibilities documented?,,
C.5.3,"Organizational roles, responsibilities, and authorities","Assign and communicate information security roles and responsibilities (e.g., risk ownership, control operation, incident response). Ensure authorities are defined, understood, and evidenced in org charts, job descriptions, or RACI matrices.",2. Do staff understand their authorities?,,
C.5.3,"Organizational roles, responsibilities, and authorities","Assign and communicate information security roles and responsibilities (e.g., risk ownership, control operation, incident response). Ensure authorities are defined, understood, and evidenced in org charts, job descriptions, or RACI matrices.",3. Are responsibilities reviewed regularly?,,
