Reference,Clause,Description,Initial Assessment Points,Evidence/Artifact,Status
C.1,Scope,"Applies ISO/IEC 27002 to health informatics, defining sector-specific safeguards for PHI/ePHI across clinical systems (EHR/EMR, LIS, RIS/PACS), telemedicine, and biomedical devices. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Is ISO/IEC 27799 formally adopted for all PHI/ePHI environments? 2. Does the scope include all PHI repositories, interfaces (HL7/FHIR/DICOM), and backups/test data? 3. Are exclusions documented with risk-based justification approved by accountable clinical leadership? 4. Are shared services (cloud/HIE) explicitly in scope with defined responsibilities?","Risk Assessment Reports, Risk Treatment Plan, Compliance Register",
C.2,Normative references,"Builds on ISO/IEC 27002:2013; uses its domains/controls and adds healthcare implementation guidance and examples. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Do policies/procedures explicitly map 27799 guidance to 27002 control IDs? 2. Is the referenced edition of 27002 current and controlled? 3. Are cross-references maintained in an authoritative control catalogue? 4. Do internal standards cite both the base control and health-specific adaptations?,,
C.3,Terms and definitions,"Adopts ISO/IEC 27000-family terminology and clarifies health-specific meanings (patient/data subject, treating relationship, PHI/ePHI, clinical device, telemedicine). The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are health-specific terms consistently defined in policy, SOPs, and contracts? 2. Are roles such as attending clinician, resident, and allied health mapped to access models? 3. Are terms for device types and clinical workflows standardized for risk, logging, and consent?","Information Security Policy, Privacy Policy, Health IS Charter; Risk Assessment Reports, Risk Treatment Plan, Compliance Register; RACI Matrix, Roles & Responsibilities Document; Access Control Matrix, SOPs, Audit Logs",
C.4,Using ISO/IEC 27002 in healthcare,"Explains how generic controls are tailored to clinical safety and continuity of care—balancing confidentiality with availability at point of care and integrity of clinical data. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Do control adaptations minimize care disruption (e.g., session timeouts, downtime procedures)? 2. Are risk assessments performed for clinical use cases (bedside devices, OR, ED, home care)? 3. Are data integrity and provenance safeguards defined for orders, results, and CDS? 4. Is break‑glass use governed with justification and post-event review?","Risk Assessment Reports, Risk Treatment Plan, Compliance Register; BCP/DR Plan, Recovery Test Reports",
C.5,Organization of health information security,"Defines leadership, committees, and accountability spanning clinical, IT, privacy, legal, and biomedical engineering for PHI protection and incident oversight. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are RACI matrices established across clinical/IT/privacy/biomed? 2. Does a governance forum review PHI risks, snooping analytics, and incident trends? 3. Are responsibilities updated for new services (telemedicine, research, registries)? 4. Are clinicians represented in risk and change approval processes?","Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Incident Response Plan, Incident Logs, Regulator Notifications",
C.6,Risk management for PHI,"Requires clinical-safety-aware risk identification, analysis, treatment, and acceptance for PHI, clinical applications, and medical devices—including impacts on patient care. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are PHI risks integrated with clinical safety and quality risk registers? 2. Are treatments aligned with 27002 controls plus 27799 healthcare guidance? 3. Are residual risks accepted by accountable clinical leadership and periodically reviewed? 4. Are device/network risks assessed for segmentation and patch/recall constraints?,"Risk Assessment Reports, Risk Treatment Plan, Compliance Register",
C.7,Applying ISO/IEC 27002 controls to health,"Provides healthcare-specific implementation guidance for each 27002:2013 control, including examples for EHR, PACS, telemedicine, HIE, and biomedical networks/devices. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Is there documented tailoring guidance per control for health contexts? 2. Are healthcare examples codified into SOPs, configuration standards, and runbooks? 3. Are monitoring/metrics defined to evidence control effectiveness in clinical workflows?",,
A.5.1.1,Policies for information security (health),"Establish, approve, publish, and communicate an information security policy that explicitly covers PHI/ePHI, clinical systems, medical devices, and clinical communications. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Does the top-level policy reference PHI, EHR/EMR, PACS, LIS, RIS, and telemedicine? 2. Is policy approved by executive clinical leadership and reviewed at planned intervals? 3. Are underlying standards and SOPs specific to clinical contexts linked and maintained?","Information Security Policy, Privacy Policy, Health IS Charter",
A.5.1.2,Review of the information security policies,"Policies are reviewed on schedule and upon changes in clinical services, laws, technologies, or incidents; updates communicated to clinicians and staff. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are triggers (new services/devices/HIEs/incidents) defined for out-of-cycle reviews? 2. Are clinicians notified and trained on policy changes impacting workflows? 3. Is evidence of periodic review and approval retained?,"Information Security Policy, Privacy Policy, Health IS Charter; Incident Response Plan, Incident Logs, Regulator Notifications",
A.6.1.1,Information security roles and responsibilities (clinical),"Define and assign security responsibilities spanning clinical leadership, IT, privacy, and biomedical engineering for PHI protection and safety. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are roles/responsibilities documented (e.g., CMIO, CISO, Privacy Officer, Biomed Lead)? 2. Are accountabilities tied to incident response and change control for clinical systems? 3. Is coverage ensured across all shifts/sites (inpatient/outpatient)?","RACI Matrix, Roles & Responsibilities Document; Incident Response Plan, Incident Logs, Regulator Notifications",
