Reference,Clause,Description ,Initial Assessment Points,Evidence/Artifact,Findings,Status
C.1,Scope,Defines the applicability and boundaries of the Artificial Intelligence Management System (AIMS) and the AI systems/services covered.,"1) Is the AIMS scope documented with clear boundaries (org units, locations, AI use-cases)?
2) Are inclusions/exclusions justified and approved?
3) Is the scope consistent across policies, risk, and audits?","AI Risk Assessment Reports, Risk Treatment Plans, Compliance Register; Internal Audit Reports, CAPA Logs, Feedback & Complaint Records, Improvement Plans",,
C.2,Normative references,"Lists external standards and documents that are indispensable for applying 42001 (e.g., ISO 22989, ISO/IEC 23894).","1) Is there a maintained register of normative references?
2) Do procedures reference the latest editions?
3) Are dependencies tracked when references change?",,,
C.3,Terms and definitions,"Adopts common AI terminology and definitions so that governance, risk, and assurance use consistent language.","1) Have key AI terms been adopted (e.g., model, dataset, drift, human-in-the-loop)?
2) Is a glossary controlled and communicated?
3) Are roles trained on these definitions?","Data Governance Policy, Training Dataset Documentation, Data Consent Records; Model Documentation, Versioning Records, Validation & Testing Reports",,
C.4,Context of the organization,"Requires understanding internal/external issues, stakeholder needs, and defining the AIMS scope accordingly.","1) Are AI-relevant issues and constraints identified (legal, ethical, societal)?
2) Are interested parties and their requirements documented?
3) Is the AIMS scope derived from that context?",,,
C.5,Leadership,"Top management demonstrates commitment, sets AI policy, assigns roles and authorities for the AIMS.","1) Is an AI policy approved and communicated?
2) Are responsibilities and authorities assigned (AIMS owner, risk, compliance)?
3) Is leadership regularly reviewing AIMS performance?","AI Policy, Governance Charter, Management Review Records; AI Risk Assessment Reports, Risk Treatment Plans, Compliance Register",,
C.6,Planning,"Plan actions to address risks/opportunities, define AI objectives, conduct risk and impact assessments, and plan changes.","1) Is there an AI risk assessment and treatment methodology?
2) Are AI objectives measurable and aligned to policy?
3) Are impact assessments planned where warranted?","AI Policy, Governance Charter, Management Review Records; AI Risk Assessment Reports, Risk Treatment Plans, Compliance Register",,
C.7,Support,"Provide resources, competence, awareness, communication, and documented information to operate the AIMS.","1) Are competencies defined for AI roles and maintained via training?
2) Are communications defined for internal/external AI matters?
3) Is documented information controlled over its lifecycle?",,,
C.8,Operation,"Operationalize plans: control lifecycle activities, perform risk/impact assessments and treatments, and maintain evidence.","1) Are lifecycle controls embedded in day-to-day workflows?
2) Are risk and impact assessments performed prior to go‑live and on change?
3) Is evidence retained for operational decisions?","AI Risk Assessment Reports, Risk Treatment Plans, Compliance Register; AI Lifecycle SOPs, Incident Logs, Monitoring Reports, Access Control Records",,
C.9,Performance evaluation,"Monitor, measure, analyze, evaluate AIMS effectiveness; conduct internal audits and management reviews.","1) Are KPIs/metrics defined for AI risk, quality, fairness, incidents?
2) Is there an audit program covering AIMS scope?
3) Are management reviews minuted with actions tracked?","AI Risk Assessment Reports, Risk Treatment Plans, Compliance Register; Internal Audit Reports, CAPA Logs, Feedback & Complaint Records, Improvement Plans",,
C.10,Improvement,Drive continual improvement; handle nonconformities and corrective actions related to AIMS and AI systems.,"1) Are nonconformities recorded with root cause and CAPA?
2) Are lessons learned from incidents/near misses applied?
3) Is there a continual improvement log with owners and dates?",,,
