Clause,Reference,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
CHAPTER I PRELIMINARY PROVISIONS,Article 1,"This Law provides on the processing of personal data, including by digital means, by a natural person or legal entity governed by public or private law, for the purpose of protecting the essential rights of freedom and privacy and the free development of the personality of the individuals.",Does the organization meet the specific compliance requirements described in Article 1?,Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports,,
CHAPTER I PRELIMINARY PROVISIONS,Article 2,"The grounds of the regulation on personal data protection are the following: I – respect for privacy; II – informative self-determination; III – freedom of expression, information, communication and opinion; IV – inviolability of intimacy, honor and reputation; V – economic and technological development and innovation; VI – free initiative, free competition and consumer protection; and VII – human rights, free development of personality, dignity and exercise of citizenship by the individuals.","Are personal data properly terminated, deleted, or anonymized when processing is no longer necessary under Article 2?","Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Sensitive data handling SOP ; Anonymization/pseudonymization methodology ; Data segregation evidence (logical/physical) ; Purpose limitation approvals for sensitive categories ; Data retention schedule (by purpose/system) ; Automated deletion job configs & logs ; Secure disposal certificates (where applicable) ; Legal hold procedure",,
CHAPTER I PRELIMINARY PROVISIONS,Article 3,"This Law applies to any processing operation carried out by a natural person or legal entity governed by public or private law, irrespective of the means, of the country in which its headquarter is located or of the country in which the data are located, provided: I – the processing operation be carried out in the Brazilian territory; II – the purpose of the processing activity be the offer or supply of goods or services or the processing of data of individuals located in the Brazilian territory; III – the processed personal data have been collected in the Brazilian territory. Paragraph 1 Personal data collected in the Brazilian territory are understood as those personal data whose data subject is in the Brazilian territory at the time of the collection. Paragraph 2 The provision of item I of this article shall not apply to the processing of data set forth in item IV of the head provision of article 4 of this Law.",Does the organization meet the specific compliance requirements described in Article 3?,Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports,,
CHAPTER I PRELIMINARY PROVISIONS,Article 4,"This Law shall not apply to the processing of personal data: I – made by a natural person for exclusively private and non-economic purposes; II – made exclusively for: a) journalistic and artistic purposes; or b) academic purposes, in which case articles 7 and 11 of this Law shall apply; III - made exclusively for the following purposes: a) public security; b) national defense; c) safety of the Country; or d) crime investigation and punishment activities; or IV – originating from outside the Brazilian territory and which are not subject to communication, shared use of data with Brazilian processing agents or subject to international transfer of data with other country than the country of origin, provided the country of origin provides a degree of personal data protection consistent with the provisions of this Law. Paragraph 1 The processing of personal data set forth in item III shall be governed by a specific law, which shall contain proportional measures as strictly required to serve the public interest, subject to the due process of law, the general principles of protection and the rights of the data subjects set forth in this Law. Paragraph 2 The processing of the data referred to in item III of the head provision of this article by a person governed by private law is prohibited, except in procedures carried out by a legal entity governed by public law, which shall be the subject matter of specific information to the supervisory authority and which shall observe the limitation imposed in paragraph 4 of this article. Paragraph 3 The supervisory authority shall issue technical opinions or recommendations relating to the exceptions set forth in item III of the head provision of this article, and it shall request the persons in charge to provide data protection impact assessments. Paragraph 4 In no event can all personal data of the database set forth in item III of the head provision of this article be processed by a person governed by private law.","Are data subjects fully able to exercise their rights (access, correction, deletion, portability) as specified in Article 4?","Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Cross-border transfer register ; Transfer mechanism (SCCs/adequacy/ANPD clauses) ; Transfer impact assessment (TIA) ; Contractual safeguards and onward transfer controls ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; DPIA reports and approvals ; Risk register entries linked to processing activities ; Mitigation action plans and status tracking ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER I PRELIMINARY PROVISIONS,Article 5,"For purposes of this Law, the following definitions apply: I – personal data: information related to an identified or identifiable a natural person; II – sensitive personal data: personal data on racial or ethnic origin, religious belief, public opinion, affiliation to union or religious, philosophical or political organization, data relating to the health or sex life, genetic or biometric data, whenever related to a natural person; III – anonymized data: data relating to an data subject who cannot be identified, considering the use of reasonable technical means available at the time of the processed thereof; IV - database: structured set of personal data, established in one or several sites, in electronic or physical support; V - data subject: natural person to whom the personal data being processing refer; VI – controller: natural person or legal entity, governed by public or private law, in charge of making decisions about the processing of personal data; VII - processor: natural person or legal entity, governed by public or private law, which process personal data in the name of the controller; VIII – data protection officer: natural person appointed by the controller, who acts as a channel of communication between the controller and the data subjects and the supervisory authority; IX – processing agents: the controller and the processor; X - processing: any operation carried out with personal data, such as those that refer to the collection, production, receipt, classification, use, access, reproduction, transmission, distribution, processing, filing, storage, elimination, information evaluation or control, modification, communication, transfer, diffusion or extraction; XI - anonymization: use of reasonable technical means available at the time of processing, by means of which the data loses the possibility of direct or indirect association to a natural person; XII - consent: free, informed and unequivocal pronouncement by means of which the data subjects agree to the processing of their personal data for a specific purpose; XIII - blocking: temporary suspension of any processing operation, by means of safekeeping of the personal data or database; XIV - elimination: exclusion of data or of a group of data stored in a database, irrespective of the procedure used; XV – international transfer of data: transfer of personal data to a foreign country or international organism of which the country is a member; XVI – shared use of data: communication, diffusion, international transfer, interconnection of personal data or shared processing of personal databases by public bodies and entities in the performance of their statutory duties, or between them and private entities, reciprocally, with specific authorization, for one or more processing modalities permitted by these public entities, or between private entities; XVII – data protection impact assessment: documentation of the controller that contains a description of the personal data processing processes that could generate risks to the civil liberties and to the fundamental rights, as well as measures, safeguards and mechanisms to mitigate risks; XVIII – research body: body or entity of the direct or indirect public administration or not-for-profit legal entity governed by private law organized under the Brazilian laws, with its principal place of business and jurisdiction in Brazil, which includes in its institutional mission or in its corporate purpose or purpose established in the By-Laws basic or applied historic, scientific, technological or statistical research; XIX - supervisory authority: body of the indirect public administration in charge of supervising, implementing and inspecting compliance with this Law.",Does the organization obtain and manage consent appropriately as required under Article 5?,"Consent capture screens/forms (UI screenshots or form templates) ; Consent logs (timestamp, purpose, version, data subject ID) ; Consent withdrawal workflow + logs ; Privacy notice versions linked to consent collection points ; Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Cross-border transfer register ; Transfer mechanism (SCCs/adequacy/ANPD clauses) ; Transfer impact assessment (TIA) ; Contractual safeguards and onward transfer controls ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Sensitive data handling SOP ; Anonymization/pseudonymization methodology ; Data segregation evidence (logical/physical) ; Purpose limitation approvals for sensitive categories ; Data retention schedule (by purpose/system) ; Automated deletion job configs & logs ; Secure disposal certificates (where applicable) ; Legal hold procedure ; DPIA reports and approvals ; Risk register entries linked to processing activities ; Mitigation action plans and status tracking ; DPO appointment letter & contact publication ; DPO responsibilities charter ; Reports/escalations to management ; Independence & conflict-of-interest statement ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER II PROCESSING OF PERSONAL DATA,Article 6,"The personal data processing activities shall observe the good faith and the following principles: I - purpose: processing for legitimate, specific and explicit purposes informed to the data subject, without any possibility of subsequent processing inconsistently with these purposes; II - adequacy: compatibility of the processing with the purposes informed to the data subject, in accordance with the context of the processing; III - need: limitation of the processing to the minimum processing required for achievement of its purposes, encompassing pertinent, proportional and non-excessive data in relation to the purposes of the data processing; IV – free access: guarantee, to the data subjects, of facilitated and free consultation on the form and duration of the processing, as well as on all their personal data; V - quality of data: guarantee, to the data subjects, of accuracy, clarity, relevance and update of the data, according to the need and for compliance with the purpose of the processing thereof; VI - transparency: guarantee, to the data subjects, of clear, accurate and easily accessible information on the processing and the respective processing agents, subject to business and industrial secrets; VII - security: use of technical and administrative measures able to protect the personal data from unauthorized accesses and from accidental or unlawful situations of destructions, loss, alteration, communication or diffusion; VIII - prevention: adoption of measures to prevent the occurrence of damage in view of the processing of personal data; IX – non-discrimination: impossibility of processing data for discriminatory, unlawful or abusive purposes; X – liability and accounting: proof, by the agent, of adoption of effective measures able to prove observance of and compliance with the personal data protection rules, and also with the effectiveness of these measures. PROCESSING OF PERSONAL DATA Section I Requirements for the Processing of Personal Data",Has the organization implemented and maintained adequate security measures and incident response mechanisms under Article 6?,"Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Cross-border transfer register ; Transfer mechanism (SCCs/adequacy/ANPD clauses) ; Transfer impact assessment (TIA) ; Contractual safeguards and onward transfer controls ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER II PROCESSING OF PERSONAL DATA,Article 7,"The personal data can only be processed in the following events: I – by means of the data subject's consent; II – for compliance with a statutory or regulatory obligation by the controller; III - by the public administration, for the processing and shared use of data required for the performance of public policies set forth in laws or regulations or supported by contracts, agreements or similar instruments, subject to the provisions of Chapter IV of this Law; IV – for the conduction of studies by research bodies, guaranteeing, whenever possible, the anonymization of personal data; V – whenever necessary for the performance of agreements or preliminary procedures relating to agreements to which the data subject is a party, at the request of the data subject; VI – for the regular exercise of rights in lawsuits, administrative or arbitration proceedings, the latter pursuant to the provisions of Law No. 9.307, of September 23, 1996 (Arbitration Law); VII – for protection of the life or of the physical safety of the data subject or of third parties; VIII – for protection of the health, in a procedure carried out by health professionals or by sanitary entities; IX – whenever necessary to serve the legitimate interests of the controller or of third parties, except in the event of prevalence of fundamental rights and liberties of the data subject, which require protection of the personal data; or X – for the protection of credit, including with respect to the provisions of the applicable law. Paragraph 1 In the events of application of the provisions of items II and III of the head provision of this article and except for the events set forth in article 4 of this Law, the data subjects shall be informed of the events in which the processing of their data shall be permitted. Paragraph 2 The form of provision of the information set forth in paragraph 1 and in item I of the head provision of article 23 of this Law may be specified by the supervisory authority. Paragraph 3 The processing of personal data the access to which is public shall consider the purpose, the good faith and the public interest that would justify the availability thereof. Paragraph 4 The requirement of the consent set forth in the head provision of this article for the data manifestly made public by the data subject is waived, provided the rights of the data subject and the principles set forth in this Law are observed. Paragraph 5 The controller that has obtained the consent referred to in item I of the head provision of this article and who needs to communicate or share personal data with other controllers must obtain the specific consent of the data subject for such purpose, except for the events of waiver of consent set forth in this Law. Paragraph 6 No waiver of the requirement of consent releases the processing agents from the other obligations set forth in this Law, especially observance of the general principles and of the guarantee of the rights of the data subject.",Does the organization obtain and manage consent appropriately as required under Article 7?,"Approved Privacy Policy (public + internal) ; Records of Processing Activities (RoPA) covering scope & purposes ; Information Security Policy & standards ; LGPD governance charter / roles & responsibilities ; Consent capture screens/forms (UI screenshots or form templates) ; Consent logs (timestamp, purpose, version, data subject ID) ; Consent withdrawal workflow + logs ; Privacy notice versions linked to consent collection points ; Legal basis register per purpose (matrix) ; Legitimate Interest Assessment (where applicable) ; Contractual clauses supporting 'contract' basis ; Regulatory obligation references (for 'legal obligation' basis) ; Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Balancing test / LIA ; Opt-out mechanism and logs for LI processing ; Purpose assessment documenting necessity/proportionality ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Sensitive data handling SOP ; Anonymization/pseudonymization methodology ; Data segregation evidence (logical/physical) ; Purpose limitation approvals for sensitive categories ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER II PROCESSING OF PERSONAL DATA,Article 8,"The consent set forth in item I of article 7 of this Law must be provided in writing or by other means that proves the manifestation of will of the data subject. Paragraph 1 In case the consent is provided in writing, it shall be included in a clause separated from the other contractual clauses. Paragraph 2 The controller has the burden to prove that the consent has been obtained in accordance with the provisions of this Law. Paragraph 3 The processing of personal data by means of defective consent is prohibited. Paragraph 4 The consent shall refer to defined purposes, and generic authorizations for the processing of personal data shall be null. Paragraph 5 The consent may be revoked at any time upon express pronouncement of the data subject, by a free and facilitated procedure, ratifying the processing carried out under a previous consent, as long as there is no request for elimination, pursuant to the provisions of item VI of the head provision of article 18 of this Law. Paragraph 6 In the event of change in the information referred to in items I, II, III or V of article 9 of this Law, the controller shall inform the data subjects, specifically noting the contents of the change and, whenever the consent of the data subjects is required, it may be revoked by the data subjects if they disagree with the change.",Does the organization obtain and manage consent appropriately as required under Article 8?,"Consent capture screens/forms (UI screenshots or form templates) ; Consent logs (timestamp, purpose, version, data subject ID) ; Consent withdrawal workflow + logs ; Privacy notice versions linked to consent collection points ; Legal basis register per purpose (matrix) ; Legitimate Interest Assessment (where applicable) ; Contractual clauses supporting 'contract' basis ; Regulatory obligation references (for 'legal obligation' basis) ; Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Data retention schedule (by purpose/system) ; Automated deletion job configs & logs ; Secure disposal certificates (where applicable) ; Legal hold procedure ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER II PROCESSING OF PERSONAL DATA,Article 9,"The data subjects are entitled to facilitated access to the information on the processing of their data, which shall be clearly, adequately and visibly provided, about the following, in addition to other characteristics set forth in the regulations, for compliance with the principle of free access: I – specific purpose of the processing; II – form and duration of the processing, observing the business and industrial secrets; III – identification of the controller; IV – contact information of the controller; V - information about the shared use of data by the controller and the purpose; VI – responsibilities of the agents who shall carry out the processing; and VII - rights of the data subject, explicitly mentioning the rights contained in article 18 of this Law. Paragraph 1 Whenever the consent is required, it shall be deemed null in case the information provided to the data subject has misleading or abusive contents or has not been previously presented in a transparent, clear and unequivocal form. Paragraph 2 Whenever the consent is required, if there are changes in the purpose for processing of personal data that are not compatible with the original consent, the controller shall previously inform the data subjects of the changes of purpose, and the data subjects may revoke the consent in case they disagree with the changes. Paragraph 3 Whenever the processing of personal data is a condition for the supply of a product or service or for the exercise of a right, the data subjects shall be emphatically informed of this fact and of the means by which they may exercise the data subjects’ rights listed in article 18 of this Law.",Does the organization obtain and manage consent appropriately as required under Article 9?,"Consent capture screens/forms (UI screenshots or form templates) ; Consent logs (timestamp, purpose, version, data subject ID) ; Consent withdrawal workflow + logs ; Privacy notice versions linked to consent collection points ; Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER II PROCESSING OF PERSONAL DATA,Article 10,". The legitimate interest of the controller may only be a reason for the processing of personal data for legitimate purposes, considered based on specific situations, which include, without limitation: I – support and promotion of activities of the controller; and II – protection, in relation to the data subjects, of the regular exercise of their rights or provision of services that benefit them, observing their legitimate expectations and the fundamental rights and liberties, pursuant to the provisions of this Law. Paragraph 1 Whenever the processing is based on the legitimate interest of the controller, only the personal data strictly required for the desired purpose may be processed. Paragraph 2 The controller shall adopt measures to guarantee the transparency of the processing of data based on his or her legitimate interest. Paragraph 3 The supervisory authority may request to the controller a data protection impact assessment whenever the grounds of the processing are its legitimate interest, subject to the business and industrial secrets. Section II Processing of Sensitive Personal Data","Are data subjects fully able to exercise their rights (access, correction, deletion, portability) as specified in Article 10?","Legal basis register per purpose (matrix) ; Legitimate Interest Assessment (where applicable) ; Contractual clauses supporting 'contract' basis ; Regulatory obligation references (for 'legal obligation' basis) ; Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Balancing test / LIA ; Opt-out mechanism and logs for LI processing ; Purpose assessment documenting necessity/proportionality ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Sensitive data handling SOP ; Anonymization/pseudonymization methodology ; Data segregation evidence (logical/physical) ; Purpose limitation approvals for sensitive categories ; DPIA reports and approvals ; Risk register entries linked to processing activities ; Mitigation action plans and status tracking",,
