Reference,Category,Clause,Description,Audit Questions,Evidence/Artifact
Accessible Design Processes,Govern,3.2 Accessibility is embedded in AI design,"Accessible AI design standards are applied throughout lifecycle This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Is accessibility considered in AI system design?,AI Risk Mgmt Policy/Charter; Oversight committee minutes; RACI & accountability map; Risk appetite statement; Annual governance plan
Accountability Assignment,Govern,2.1 Risk owners are clearly identified,"Clear ownership of AI risks assigned to teams or individuals This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Are responsibilities and accountabilities documented and assigned?,AI Risk Mgmt Policy/Charter; Oversight committee minutes; RACI & accountability map; Risk appetite statement; Annual governance plan
Accountability Reporting,Govern,2.3 Regular reporting on AI risk activities,"Risk management outcomes are communicated to governance bodies This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Are AI risk reports regularly submitted and reviewed?,AI Risk Mgmt Policy/Charter; Oversight committee minutes; RACI & accountability map; Risk appetite statement; Annual governance plan
Actor Involvement,Manage,2.2 Inclusion of relevant AI actors in strategy,"Stakeholders involved in risk treatment decisions and processes This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Are risk treatment actions informed by AI actors' input?,AI system inventory; Context of use analysis; Stakeholder mapping; Harm/impact scenarios; Risk register entries
AI Governance Execution,Govern,1.2 Processes are transparent and consistent,"AI risk management processes are transparent and consistent across the organization This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Are AI risk processes implemented consistently?,AI Risk Mgmt Policy/Charter; Oversight committee minutes; RACI & accountability map; Risk appetite statement; Annual governance plan
AI Governance Policies,Govern,1.1 Organization-wide processes are documented,"Policies, processes, and procedures related to AI risk mapping, measuring, and managing are documented and implemented This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Are AI risk processes documented and aligned with organizational objectives?,AI Risk Mgmt Policy/Charter; Oversight committee minutes; RACI & accountability map; Risk appetite statement; Annual governance plan
AI Governance Review,Govern,1.3 AI risk management governance processes are regularly reviewed,"Regular review and updating of AI risk governance processes This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Are governance processes reviewed periodically for effectiveness?,AI Risk Mgmt Policy/Charter; Oversight committee minutes; RACI & accountability map; Risk appetite statement; Annual governance plan
AI System Inventory,Map,1.1 AI environment fully documented,"AI operating environment and context are well documented This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Is AI system operating environment recorded?,AI system inventory; Context of use analysis; Stakeholder mapping; Harm/impact scenarios; Risk register entries
Communication of Risks,Govern,4.2 Risk communication encouraged,"Reporting of AI risks is fostered and rewarded This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Are risk reporting channels active and used?,AI Risk Mgmt Policy/Charter; Oversight committee minutes; RACI & accountability map; Risk appetite statement; Annual governance plan
Contingency Planning - 1,Manage,3.3 Contingency and recovery plans for third-party AI,"Preparedness plans for third-party AI failure and incident recovery This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Are contingency plans for third-party AI risks documented and tested?,AI system inventory; Context of use analysis; Stakeholder mapping; Harm/impact scenarios; Risk register entries
Contingency Planning - 2,Govern,6.2 Incident plans for third-party AI risks,"Contingency plans exist for AI failures in third-party systems This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Are response plans in place for third-party AI disruptions?,AI Risk Mgmt Policy/Charter; Oversight committee minutes; RACI & accountability map; Risk appetite statement; Annual governance plan
Cost-Benefit Analysis,Map,3.2 Benefits and costs evaluated,"Risk-benefit trade-offs systematically reviewed This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Is cost-benefit data captured as part of risk mapping?,AI system inventory; Context of use analysis; Stakeholder mapping; Harm/impact scenarios; Risk register entries
Data Source Identification,Map,2.2 Data inputs and origins catalogued,"Sources of AI training, validation, and inference data recorded This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Is data provenance and quality documented?,AI system inventory; Context of use analysis; Stakeholder mapping; Harm/impact scenarios; Risk register entries
Decision Integration,Govern,4.3 Risk considered in decision-making,"AI risk considerations integrated into strategic and operational decisions This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Are AI risks factors in business and technical decisions?,AI Risk Mgmt Policy/Charter; Oversight committee minutes; RACI & accountability map; Risk appetite statement; Annual governance plan
DEIA Training,Govern,3.3 Workforce DEIA awareness training,"Continuous training on diversity and inclusion in AI risk contexts This description has been expanded to provide greater clarity, including context, examples, and audit considerations relevant to the AI RMF control.",Are DEIA-related trainings provided to AI stakeholders?,AI Risk Mgmt Policy/Charter; Oversight committee minutes; RACI & accountability map; Risk appetite statement; Annual governance plan
