Function,Clause,Reference,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
Govern (GV) - 1,Organizational Context,GV.OC-01,"The organizational mission is understood and informs cybersecurity risk management. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Has the organization clearly defined and documented its mission, and is this mission reflected in cybersecurity risk management practices?",Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 1,Organizational Context,GV.OC-02,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Has the organization identified all internal and external stakeholders, and considered their cybersecurity expectations and needs?",Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 1,Organizational Context,GV.OC-03,"Legal, regulatory, and contractual requirements regarding cybersecurity — including privacy and civil liberties obligations — are understood and managed. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Is there a process to identify, document, and manage legal, regulatory, and contractual cybersecurity requirements, including privacy obligations?",Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 1,Organizational Context,GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",Does the organization understand and communicate the critical capabilities and services expected by external stakeholders?,Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 1,Organizational Context,GV.OC-05,"Outcomes, capabilities, and services that the organization depends on are understood and communicated. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Has the organization identified and documented its dependencies on external outcomes, capabilities, and services?",Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 2,Risk Management Strategy,GV.RM-01,"Risk management objectives are established and agreed to by organizational stakeholders. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",Is there evidence that risk management objectives are established and agreed to by organizational stakeholders.?,Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 2,Risk Management Strategy,GV.RM-02,"Risk appetite and risk tolerance statements are established, communicated, and maintained. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Is there evidence that risk appetite and risk tolerance statements are established, communicated, and maintained.?",Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 2,Risk Management Strategy,GV.RM-03,"Cybersecurity risk management activities and outcomes are included in enterprise risk management processes. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",Can the organization demonstrate how cybersecurity risk management activities and outcomes are included in enterprise risk management processes.?,Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 2,Risk Management Strategy,GV.RM-04,"Strategic direction that describes appropriate risk response options is established and communicated. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",Is there evidence that strategic direction that describes appropriate risk response options is established and communicated.?,Incident response plan; Incident register; Simulation/test results,,
Govern (GV) - 2,Risk Management Strategy,GV.RM-05,"Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Is there evidence that lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties.?",Vendor risk assessment; Third-party contracts; Compliance attestations,,
