Clause,Reference,Description,Audit Question,Evidence Examples,Findings,Status
Access Control Policy,1,"Access control policy defines role‑based access, least privilege, and approval processes for CDE systems and data. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is access control policy defined and followed?
2. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
3. Are privileged accounts separated, monitored, and vaulted where applicable?
4. Is access promptly revoked upon termination or role change?","Policy, RBAC matrices, approval records",,
Access Provisioning,2,"Access is granted based on job role and business need with documented approvals and ticketing. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is access provisioned via documented approvals?
2. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
3. Are privileged accounts separated, monitored, and vaulted where applicable?
4. Is access promptly revoked upon termination or role change?","IAM tickets, approvals, JML workflow",,
Access Revocation,3,"Access is promptly revoked for leavers/role changes per JML process; accounts are disabled/removed. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is access promptly revoked upon termination or transfer?
2. Is AV/EDR deployed on all applicable systems with real‑time protection enabled?
3. Are signature/engine updates automatic and monitored for failures?
4. Are periodic scans scheduled and findings remediated promptly?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","HR feeds, deprovisioning logs",,
Anti-Spoofing Controls,4,"Ingress and egress anti-spoofing is configured to block private/reserved source addresses and forged traffic. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are anti-spoofing controls enabled for inbound and outbound interfaces?
2. Do rule sets enforce a deny‑by‑default posture with business‑justified allow rules?
3. Are anti‑spoofing protections enabled and validated on all relevant interfaces?
4. Are rule sets reviewed at least semiannually and stale rules removed?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","Router/NSC configs, test logs, pen test results",,
ASV Scans (if applicable),5,"External vulnerability scans by an Approved Scanning Vendor (ASV) are performed as required by brand/acquirer. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are ASV scans completed and passing?
2. Are vulnerabilities identified, risk‑ranked, and remediated within defined SLAs?
3. Are authenticated internal/external scans and penetration tests performed per schedule and after changes?
4. Are exceptions to patch timelines documented with compensating controls?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","ASV reports, attestation",,
Auth Session Management,6,"Sessions are limited by timeout and re‑authentication requirements; failed attempts are locked out. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are session controls and lockouts configured?
2. Is multi‑factor authentication enforced for administrative and remote access as required?
3. Are credential policies (length, complexity, rotation) enforced and monitored?
4. Are session timeout and lockout settings aligned to policy and tested?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","App configs, IdP settings, screenshots",,
Awareness and Training,7,"Security awareness and role‑based training are provided to personnel with access to the CDE or processes impacting PCI DSS. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is training delivered and tracked for relevant roles?
2. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
3. Are privileged accounts separated, monitored, and vaulted where applicable?
4. Is access promptly revoked upon termination or role change?","LMS records, training materials",,
Baseline Hardening,8,"Systems are built from hardened baselines that remove unnecessary services, accounts, and components prior to deployment. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are hardened baselines used for builds and verified before go‑live?
2. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
3. Are privileged accounts separated, monitored, and vaulted where applicable?
4. Is access promptly revoked upon termination or role change?","Build docs, gold images, baseline checklists",,
Certificate and Key Management,9,"Only trusted keys/certificates are used; certificate lifecycle (issuance, renewal, revocation) is managed. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are certs trusted and lifecycle-managed?
2. Is strong cryptography used with approved algorithms, key lengths, and protocol versions?
3. Is key management enforced (generation, storage, rotation, revocation) per documented procedures?
4. Is primary account number (PAN) masked on display and rendered unreadable at rest where applicable?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","PKI inventories, cert monitoring reports",,
Change Default Credentials,10,"Vendor default passwords/accounts/configurations are changed or disabled prior to connecting systems to the network. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Were all default credentials/settings changed before deployment?
2. Is multi‑factor authentication enforced for administrative and remote access as required?
3. Are credential policies (length, complexity, rotation) enforced and monitored?
4. Are session timeout and lockout settings aligned to policy and tested?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","Build logs, config evidence, scanner results",,
