Clause,Reference,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
Accountability Obligation,1,"Organisations are responsible for compliance with the PDPA and must appoint at least one individual, known as the Data Protection Officer (DPO), who is accountable for ensuring compliance. The DPO should oversee data protection strategies, handle complaints, and serve as the main point of contact for the PDPC.",Has the organisation formally designated a DPO with documented responsibilities?,Data Protection Policy; DPO Appointment Letter & Public Contact Info; PDPA Compliance Manual / SOPs; Training & Awareness Records (PDPA); Internal/External PDPA Audit Reports; DPO Job Description & Org Chart; DPO Register / Contact Publication (website/policy); Board/Management Approval of Privacy Program; Information Security Policy / ISMS Controls; Access Control Reviews & User Listings; Encryption/Key Management Evidence; System/User Activity Logs; Vendor Security Assessments; Incident Response Plan & Breach Logs,,
Accountability Obligation,2,"Organisations must develop and implement written data protection policies and practices. These should cover how personal data is collected, used, disclosed, and protected, including retention and disposal practices, staff training, and procedures for responding to data breaches.",Are written policies and procedures in place for PDPA compliance?,Data Protection Policy; DPO Appointment Letter & Public Contact Info; PDPA Compliance Manual / SOPs; Training & Awareness Records (PDPA); Internal/External PDPA Audit Reports; DPO Job Description & Org Chart; DPO Register / Contact Publication (website/policy); Board/Management Approval of Privacy Program; Information Security Policy / ISMS Controls; Access Control Reviews & User Listings; Encryption/Key Management Evidence; System/User Activity Logs; Vendor Security Assessments; Incident Response Plan & Breach Logs; Data Retention & Disposal Policy; Retention Schedules (system evidence); Data Disposal Logs / Certificates; Incident Response Plan; Data Breach Notification Procedures; Breach Register / Logs; Notifications sent to PDPC & Affected Individuals,,
Accountability Obligation,3,Organisations must make information about their data protection policies and practices available to the public in an accessible form. This ensures transparency and builds trust with individuals.,"Are data protection policies publicly available (e.g., on website)?",Data Protection Policy; DPO Appointment Letter & Public Contact Info; PDPA Compliance Manual / SOPs; Training & Awareness Records (PDPA); Internal/External PDPA Audit Reports; DPO Job Description & Org Chart; DPO Register / Contact Publication (website/policy); Board/Management Approval of Privacy Program; DSAR Procedure Manual; Request/Response Register with timelines; Identity Verification Procedures; Correction/Update Logs; Customer Communication Records; Information Security Policy / ISMS Controls; Access Control Reviews & User Listings; Encryption/Key Management Evidence; System/User Activity Logs; Vendor Security Assessments; Incident Response Plan & Breach Logs; Public-Facing Privacy Policy; Customer FAQs & Disclosures; Policy Update & Communication Records,,
Accountability Obligation,4,Staff must be trained and made aware of the organisation’s data protection obligations and practices. Ongoing awareness programs should be implemented to maintain compliance across all levels of the organisation.,Are employees trained regularly on PDPA obligations and practices?,Data Protection Policy; DPO Appointment Letter & Public Contact Info; PDPA Compliance Manual / SOPs; Training & Awareness Records (PDPA); Internal/External PDPA Audit Reports; DPO Job Description & Org Chart; DPO Register / Contact Publication (website/policy); Board/Management Approval of Privacy Program; Information Security Policy / ISMS Controls; Access Control Reviews & User Listings; Encryption/Key Management Evidence; System/User Activity Logs; Vendor Security Assessments; Incident Response Plan & Breach Logs,,
Consent Obligation,5,"Valid consent must be obtained from individuals before collecting, using, or disclosing their personal data, unless an exception applies. Consent must be informed, voluntary, and specific to the purpose of collection.","Is consent obtained in a clear, informed, and accessible manner before collection?",Data Protection Policy; DPO Appointment Letter & Public Contact Info; PDPA Compliance Manual / SOPs; Training & Awareness Records (PDPA); Internal/External PDPA Audit Reports; Consent Forms/Templates (digital & paper); Consent Management System Logs / Preference Center Exports; Legitimate Interest Assessment (LIA) for deemed consent; Withdrawal of Consent SOP & Logs; Privacy Notices explaining consent and exceptions; Purpose Assessment Records; Change Management Logs for new purposes; Legal Opinions for exceptional uses/disclosures; DSAR Procedure Manual; Request/Response Register with timelines; Identity Verification Procedures; Correction/Update Logs; Customer Communication Records,,
Consent Obligation,6,"Individuals must be able to withdraw consent at any time, and organisations must facilitate this process and cease the collection, use, or disclosure of data when consent is withdrawn, unless there are overriding legal or business reasons.",Are individuals allowed to withdraw consent easily and is this process documented?,Data Protection Policy; DPO Appointment Letter & Public Contact Info; PDPA Compliance Manual / SOPs; Training & Awareness Records (PDPA); Internal/External PDPA Audit Reports; Consent Forms/Templates (digital & paper); Consent Management System Logs / Preference Center Exports; Legitimate Interest Assessment (LIA) for deemed consent; Withdrawal of Consent SOP & Logs; Privacy Notices explaining consent and exceptions,,
Consent Obligation,7,"The PDPA provides limited exceptions to consent, such as when personal data is necessary to respond to an emergency, for investigations, or where it is publicly available. These exceptions must be used appropriately and documented.","Are exceptions to consent (e.g., emergencies, investigations) properly documented?",Data Protection Policy; DPO Appointment Letter & Public Contact Info; PDPA Compliance Manual / SOPs; Training & Awareness Records (PDPA); Internal/External PDPA Audit Reports; Consent Forms/Templates (digital & paper); Consent Management System Logs / Preference Center Exports; Legitimate Interest Assessment (LIA) for deemed consent; Withdrawal of Consent SOP & Logs; Privacy Notices explaining consent and exceptions,,
Consent Obligation,8,"Deemed consent can occur where individuals voluntarily provide personal data for a purpose, or where they are notified and given a reasonable opportunity to opt-out. Organisations must ensure deemed consent is not misused.",Is deemed consent (by notification or legitimate interests) used appropriately and assessed?,Data Protection Policy; DPO Appointment Letter & Public Contact Info; PDPA Compliance Manual / SOPs; Training & Awareness Records (PDPA); Internal/External PDPA Audit Reports; Consent Forms/Templates (digital & paper); Consent Management System Logs / Preference Center Exports; Legitimate Interest Assessment (LIA) for deemed consent; Withdrawal of Consent SOP & Logs; Privacy Notices explaining consent and exceptions,,
Purpose Limitation Obligation,9,"Organisations may only collect, use, or disclose personal data for purposes that a reasonable person would consider appropriate in the circumstances. Data must not be used in ways that are excessive or unrelated to the stated purpose.",Are purposes for data use assessed for reasonableness from an individual’s perspective?,Data Protection Policy; DPO Appointment Letter & Public Contact Info; PDPA Compliance Manual / SOPs; Training & Awareness Records (PDPA); Internal/External PDPA Audit Reports; Purpose Assessment Records; Change Management Logs for new purposes; Legal Opinions for exceptional uses/disclosures,,
Purpose Limitation Obligation,10,"If personal data is to be used for new purposes beyond what was originally notified, fresh consent must be obtained unless an exception applies. This ensures respect for the individual’s autonomy and expectations.",Is new use/disclosure consistent with original notified purposes or re-consent sought?,Data Protection Policy; DPO Appointment Letter & Public Contact Info; PDPA Compliance Manual / SOPs; Training & Awareness Records (PDPA); Internal/External PDPA Audit Reports; Consent Forms/Templates (digital & paper); Consent Management System Logs / Preference Center Exports; Legitimate Interest Assessment (LIA) for deemed consent; Withdrawal of Consent SOP & Logs; Privacy Notices explaining consent and exceptions; Purpose Assessment Records; Change Management Logs for new purposes; Legal Opinions for exceptional uses/disclosures,,
