Clause,Reference,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
Article 1,1,"For the purpose of implementing this Law, the following terms shall have the meanings assigned thereto, unless the context requires otherwise:","1. Is the following requirement implemented: For the purpose of implementing this Law, the following terms shall have the meanings assigned thereto, unless the context requires otherwise:?
2. Are there controls or procedures verifying adherence to: For the purpose of implementing this Law, the following terms shall have the meanings assigned thereto, unless the context requires otherwise:?","Data Protection Policies, PDPL Implementation Procedures",,
Article 1,2,Law: The Personal Data Protection Law.,"1. Is the following requirement implemented: Law: The Personal Data Protection Law.?
2. Are there controls or procedures verifying adherence to: Law: The Personal Data Protection Law.?","Data Protection Policies, PDPL Implementation Procedures; Data Classification Policy, Records of Processing Activities",,
Article 1,3,Regulations: The Implementing Regulations of the Law.,"1. Is the following requirement implemented: Regulations: The Implementing Regulations of the Law.?
2. Are there controls or procedures verifying adherence to: Regulations: The Implementing Regulations of the Law.?","Data Protection Policies, PDPL Implementation Procedures; Records of Processing Activities, Data Protection Policy",,
Article 1,4,Competent Authority: The authority to be determined by a resolution of the Council of Ministers.,"1. Is the following requirement implemented: ""Competent Authority: The authority to be determined by a resolution of the Council of Ministers.""?
2. Are there controls or procedures verifying adherence to: Competent Authority: The authority to be determined by a resolution of the Council of Ministers.?","Governance Structure, DPO Appointment Letter",,
Article 1,5,"Personal Data: Any data, regardless of its source or form, that may lead to identifying an individual specifically, or that may directly or indirectly make it possible to identify an individual, including name, personal identification number, addresses, contact numbers, license numbers, records, personal assets, bank and credit card numbers, photos and videos of an individual, and any other data of personal nature.","1. Is the following requirement implemented: Personal Data: Any data, regardless of its source or form, that may lead to identifying an individual specifically, or that may directly or indirectly make it possible to identify an individual, including name, personal identification number, addresses, contact numbers, license numbers, records, personal assets, bank and credit card numbers, photos and videos of an individual, and any other data of personal nature.?
2. Are there controls or procedures verifying adherence to: Personal Data: Any data, regardless of its source or form, that may lead to identifying an individual specifically, or that may directly or indirectly make it possible to identify an individual, including name, personal identification number, addresses, contact numbers, license numbers, records, personal assets, bank and credit card numbers, photos and videos of an individual, and any other data of personal nature.?","Data Classification Policy, Records of Processing Activities",,
Article 1,6,"Processing: Any operation carried out on Personal Data by any means, whether manual or automated, including collecting, recording, saving, indexing, organizing, formatting, storing, modifying, updating, consolidating, retrieving, using, disclosing, transmitting, publishing, sharing, linking, blocking, erasing and destroying data.","1. Is the following requirement implemented: Processing: Any operation carried out on Personal Data by any means, whether manual or automated, including collecting, recording, saving, indexing, organizing, formatting, storing, modifying, updating, consolidating, retrieving, using, disclosing, transmitting, publishing, sharing, linking, blocking, erasing and destroying data.?
2. Are there controls or procedures verifying adherence to: Processing: Any operation carried out on Personal Data by any means, whether manual or automated, including collecting, recording, saving, indexing, organizing, formatting, storing, modifying, updating, consolidating, retrieving, using, disclosing, transmitting, publishing, sharing, linking, blocking, erasing and destroying data.?","Data Classification Policy, Records of Processing Activities; Processing Register, Audit Logs",,
Article 1,7,"Collection: The collection of Personal Data by Controller in accordance with the provisions of this Law, either from the Data Subject directly, a representative of the Data Subject, any legal guardian over the Data Subject or any other party.","1. Is the following requirement implemented: Collection: The collection of Personal Data by Controller in accordance with the provisions of this Law, either from the Data Subject directly, a representative of the Data Subject, any legal guardian over the Data Subject or any other party.?
2. Are there controls or procedures verifying adherence to: Collection: The collection of Personal Data by Controller in accordance with the provisions of this Law, either from the Data Subject directly, a representative of the Data Subject, any legal guardian over the Data Subject or any other party.?","Data Protection Policies, PDPL Implementation Procedures; Data Classification Policy, Records of Processing Activities; Consent Forms, Data Collection Notices",,
Article 1,8,"Destruction: Any action taken on Personal Data that makes it unreadable and irretrievable, or impossible to identify the related Data Subject.","1. Is the following requirement implemented: Destruction: Any action taken on Personal Data that makes it unreadable and irretrievable, or impossible to identify the related Data Subject.?
2. Are there controls or procedures verifying adherence to: Destruction: Any action taken on Personal Data that makes it unreadable and irretrievable, or impossible to identify the related Data Subject.?","Data Classification Policy, Records of Processing Activities; Data Retention & Disposal Policy, Data Deletion Logs",,
Article 1,9,"Disclosure: Enabling any person - other than the Controller or the Processor, as the case may be - to access, collect or use personal data by any means and for any purpose.","1. Is the following requirement implemented: Disclosure: Enabling any person - other than the Controller or the Processor, as the case may be - to access, collect or use personal data by any means and for any purpose.?
2. Are there controls or procedures verifying adherence to: Disclosure: Enabling any person - other than the Controller or the Processor, as the case may be - to access, collect or use personal data by any means and for any purpose.?","Data Classification Policy, Records of Processing Activities; Third-party Agreements, Data Sharing Logs",,
Article 1,10,Transfer: The transfer of Personal Data from one place to another for Processing.,"1. Is the following requirement implemented: Transfer: The transfer of Personal Data from one place to another for Processing.?
2. Are there controls or procedures verifying adherence to: Transfer: The transfer of Personal Data from one place to another for Processing.?","Data Classification Policy, Records of Processing Activities; Processing Register, Audit Logs; Cross-Border Data Transfer Agreements, SDAIA Approvals",,
Article 1,11,"Publishing: Transmitting or making available any Personal Data using any written, audio or visual means.","1. Is the following requirement implemented: Publishing: Transmitting or making available any Personal Data using any written, audio or visual means.?
2. Are there controls or procedures verifying adherence to: Publishing: Transmitting or making available any Personal Data using any written, audio or visual means.?","Data Classification Policy, Records of Processing Activities",,
Article 1,12,"Sensitive Data: Personal Data revealing racial or ethnic origin, or religious, intellectual or political belief, data relating to security criminal convictions and offenses, biometric or Genetic Data for the purpose of identifying the person, Health Data, and data that indicates that one or both of the individual’s parents are unknown.","1. Is the following requirement implemented: Sensitive Data: Personal Data revealing racial or ethnic origin, or religious, intellectual or political belief, data relating to security criminal convictions and offenses, biometric or Genetic Data for the purpose of identifying the person, Health Data, and data that indicates that one or both of the individual’s parents are unknown.?
2. Are there controls or procedures verifying adherence to: Sensitive Data: Personal Data revealing racial or ethnic origin, or religious, intellectual or political belief, data relating to security criminal convictions and offenses, biometric or Genetic Data for the purpose of identifying the person, Health Data, and data that indicates that one or both of the individual’s parents are unknown.?","Data Classification Policy, Records of Processing Activities; Access Control Policy, Encryption Evidence, Backup Procedures",,
Article 1,13,"Genetic Data: Any Personal Data related to the hereditary or acquired characteristics of a natural person that uniquely identifies the physiological or health characteristics of that person, and derived from biological sample analysis of that person, such as DNA or any other testing that leads to generating Genetic Data.","1. Is the following requirement implemented: Genetic Data: Any Personal Data related to the hereditary or acquired characteristics of a natural person that uniquely identifies the physiological or health characteristics of that person, and derived from biological sample analysis of that person, such as DNA or any other testing that leads to generating Genetic Data.?
2. Are there controls or procedures verifying adherence to: Genetic Data: Any Personal Data related to the hereditary or acquired characteristics of a natural person that uniquely identifies the physiological or health characteristics of that person, and derived from biological sample analysis of that person, such as DNA or any other testing that leads to generating Genetic Data.?","Data Classification Policy, Records of Processing Activities",,
Article 1,14,"Health Data: Any Personal Data related to an individual's health condition, whether their physical, mental or psychological conditions, or related to Health Services received by that individual.","1. Is the following requirement implemented: Health Data: Any Personal Data related to an individual's health condition, whether their physical, mental or psychological conditions, or related to Health Services received by that individual.?
2. Are there controls or procedures verifying adherence to: Health Data: Any Personal Data related to an individual's health condition, whether their physical, mental or psychological conditions, or related to Health Services received by that individual.?","Data Classification Policy, Records of Processing Activities",,
Article 1,15,"Health Services: Services related to the health of an individual, including preventive, curative, rehabilitative and hospitalizing services, as well as the provision of medications.","1. Is the following requirement implemented: Health Services: Services related to the health of an individual, including preventive, curative, rehabilitative and hospitalizing services, as well as the provision of medications.?
2. Are there controls or procedures verifying adherence to: Health Services: Services related to the health of an individual, including preventive, curative, rehabilitative and hospitalizing services, as well as the provision of medications.?",,,
Article 1,16,"Credit Data: Any Personal Data related to an individual's request for, or obtaining of, financing from a financing entity, whether for a personal or family purpose, including any data relating to that individual’s ability to obtain and repay debts, and the credit history of that person.","1. Is the following requirement implemented: Credit Data: Any Personal Data related to an individual's request for, or obtaining of, financing from a financing entity, whether for a personal or family purpose, including any data relating to that individual’s ability to obtain and repay debts, and the credit history of that person.?
2. Are there controls or procedures verifying adherence to: Credit Data: Any Personal Data related to an individual's request for, or obtaining of, financing from a financing entity, whether for a personal or family purpose, including any data relating to that individual’s ability to obtain and repay debts, and the credit history of that person.?","Data Classification Policy, Records of Processing Activities",,
Article 1,17,Data Subject: The individual to whom the Personal Data relate.,"1. Is the following requirement implemented: Data Subject: The individual to whom the Personal Data relate.?
2. Are there controls or procedures verifying adherence to: Data Subject: The individual to whom the Personal Data relate.?","Data Classification Policy, Records of Processing Activities",,
Article 1,18,"Public Entity: Any ministry, department, public institution or public authority, any independent public entity in the Kingdom, or any affiliated entity therewith.","1. Is the following requirement implemented: Public Entity: Any ministry, department, public institution or public authority, any independent public entity in the Kingdom, or any affiliated entity therewith.?
2. Are there controls or procedures verifying adherence to: Public Entity: Any ministry, department, public institution or public authority, any independent public entity in the Kingdom, or any affiliated entity therewith.?","Governance Structure, DPO Appointment Letter",,
