Clause,Reference,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
Chapter I General Provisions,Article 1,"This Law is enacted in accordance with the Constitution to protect personal information rights and interests, regulate the processing of personal information, and promote the reasonable use of personal information.","Is personal information processed only for clear, lawful, and necessary purposes as required in Article 1?","Data Processing Policy, Privacy Governance Charter",,
Chapter I General Provisions,Article 2,"The personal information of any natural person shall be protected by law, and no organization or individual may infringe upon the personal information rights and interests of any natural person.","Can individuals exercise their rights (access, correction, deletion, refusal) as required in Article 2?","Privacy Notices, Data Subject Rights Policy, Access/Correction Request Logs",,
Chapter I General Provisions,Article 3,This Law shall apply to the processing of the personal information of natural persons within the territory of the People’s Republic of China.,"Is personal information processed only for clear, lawful, and necessary purposes as required in Article 3?","Data Processing Inventory (ROPA), Records of Processing Activities",,
Chapter I General Provisions,Article 4,"Personal information refers to various kinds of information related to identified or identifiable natural persons recorded by electronic or other means, excluding the information processed anonymously.",Does the organization comply with the obligations specified in Article 4?,"Consent Records, Data Minimization Procedures",,
Chapter I General Provisions,Article 5,"Personal information shall be processed in accordance with the principles of legality, legitimacy, necessity, and good faith, and shall not be processed by misleading, fraud, coercion, or other means.",Does the organization comply with the obligations specified in Article 5?,"Purpose Limitation Documentation, Data Retention & Deletion Logs",,
Chapter I General Provisions,Article 6,"Processing of personal information shall be for a definite and reasonable purpose, shall be directly related to the purpose of processing, and shall be processed in a manner that has the least impact on individual rights and interests.","Is personal information processed only for clear, lawful, and necessary purposes as required in Article 6?","Legal Basis Assessment Matrix, Data Subject Consent Records",,
Chapter I General Provisions,Article 7,"Processing of personal information shall follow the principles of openness and transparency, disclose the rules for processing personal information, and expressly indicate the purpose, manner, and scope of processing.","Is personal information processed only for clear, lawful, and necessary purposes as required in Article 7?","Children's Data Protection Policy, Parental Consent Forms",,
Chapter I General Provisions,Article 8,"When processing personal information, the quality of personal information shall be ensured to avoid adverse effects on personal rights and interests caused by inaccurate and incomplete personal information.","Is personal information processed only for clear, lawful, and necessary purposes as required in Article 8?","Sensitive Personal Information Handling Procedures, Explicit Consent Records",,
Chapter I General Provisions,Article 9,Personal information processors shall be responsible for their processing of personal information and take necessary measures to ensure the security of the personal information processed.,"Is personal information processed only for clear, lawful, and necessary purposes as required in Article 9?","Cross-border Data Transfer Agreements, CAC Security Assessment Filings",,
Chapter I General Provisions,Article 10,"No organization or individual may illegally collect, use, process, or transmit other people’s personal information, or illegally trade, provide, or disclose other people’s personal information, or engage in the processing of personal information that endangers the national security or public interests.","Is personal information processed only for clear, lawful, and necessary purposes as required in Article 10?","Data Protection Officer (DPO) Appointment Document, DPO Reports",,
Chapter I General Provisions,Article 11,"The State establishes a sound personal information protection system, prevent and punish the infringement of personal information rights and interests, strengthen the publicity and education on personal information protection, and promote the formation of a good environment for the government, enterprises, relevant social organizations and the public to jointly participate in personal information protection.","Can individuals exercise their rights (access, correction, deletion, refusal) as required in Article 11?","Relevant Policies, Procedures, Logs, and Records evidencing compliance with this Article",,
Chapter I General Provisions,Article 12,"The State actively participates in the formulation of international rules for personal information protection, promotes the international exchange and cooperation in personal information protection, and drives the mutual recognition of the rules and standards for personal information protection with other countries, regions, and international organizations.",Does the organization comply with the obligations specified in Article 12?,"Relevant Policies, Procedures, Logs, and Records evidencing compliance with this Article",,
Chapter II Rules for Processing Personal Information,Article 13,Only under any of the following circumstances may a personal information processor process personal information:,Does the organization comply with the obligations specified in Article 13?,"Relevant Policies, Procedures, Logs, and Records evidencing compliance with this Article",,
Chapter II Rules for Processing Personal Information,Article 14,"Where the processing of personal information is based on the consent of the individual concerned, such consent shall be given by the individual concerned in a voluntary and explicit manner in the condition of full knowledge. If laws and administrative regulations provide that the processing of personal information shall be subject to the individual’s separate consent or written consent, such provisions shall prevail.",Has the organization obtained valid and explicit consent as required in Article 14?,"Relevant Policies, Procedures, Logs, and Records evidencing compliance with this Article",,
Chapter II Rules for Processing Personal Information,Article 31,"If a personal information processor knows or should know that the personal information it processes is the personal information of a minor below the age of 14, it shall obtain the consent of the minor’s parent or other guardians.",Has the organization obtained valid and explicit consent as required in Article 31?,"Relevant Policies, Procedures, Logs, and Records evidencing compliance with this Article",,
