Reference,Clause,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
CC1.1,Security,"The entity demonstrates a commitment to integrity and ethical values by setting standards of conduct and enforcing accountability. This control requires organizations to establish clear policies, procedures, and governance mechanisms to ensure compliance with SOC 2 trust principles. It emphasizes not only documenting the requirement but also demonstrating evidence of consistent application in day-to-day operations. Independent validation, monitoring, and communication across relevant stakeholders should be part of the process.","Are integrity and ethical standards documented, communicated, and enforced through disciplinary and accountability mechanisms?",HR policy; Recruitment records; Background check evidence,,
CC1.2,Security,"The board of directors maintains independence from management and oversees the development and performance of internal control. This control requires organizations to establish clear policies, procedures, and governance mechanisms to ensure compliance with SOC 2 trust principles. It emphasizes not only documenting the requirement but also demonstrating evidence of consistent application in day-to-day operations. Independent validation, monitoring, and communication across relevant stakeholders should be part of the process.",Does the board operate independently and provide oversight of internal controls?,Board/committee minutes; Governance policy; Independence charter,,
CC1.3,Security,"Management establishes structures, reporting lines, and authorities and responsibilities in pursuit of objectives. This control requires organizations to establish clear policies, procedures, and governance mechanisms to ensure compliance with SOC 2 trust principles. It emphasizes not only documenting the requirement but also demonstrating evidence of consistent application in day-to-day operations. Independent validation, monitoring, and communication across relevant stakeholders should be part of the process.","Are organisational structures, responsibilities, and reporting lines defined and overseen by management?",Policy document; Procedure/SOP; Sample logs/reports,,
CC1.4,Security,"The entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives. This control requires organizations to establish clear policies, procedures, and governance mechanisms to ensure compliance with SOC 2 trust principles. It emphasizes not only documenting the requirement but also demonstrating evidence of consistent application in day-to-day operations. Independent validation, monitoring, and communication across relevant stakeholders should be part of the process.","Does HR ensure competent staff are recruited, trained, and retained in line with objectives?",HR policy; Recruitment records; Background check evidence,,
CC2.1,Security,"Relevant and quality information is obtained, generated, and used to support the functioning of internal control. This control requires organizations to establish clear policies, procedures, and governance mechanisms to ensure compliance with SOC 2 trust principles. It emphasizes not only documenting the requirement but also demonstrating evidence of consistent application in day-to-day operations. Independent validation, monitoring, and communication across relevant stakeholders should be part of the process.",Is quality information obtained and used to support internal control processes?,Policy document; Procedure/SOP; Sample logs/reports,,
CC2.2,Security,"Information is internally communicated, including objectives and responsibilities necessary to support internal control. This control requires organizations to establish clear policies, procedures, and governance mechanisms to ensure compliance with SOC 2 trust principles. It emphasizes not only documenting the requirement but also demonstrating evidence of consistent application in day-to-day operations. Independent validation, monitoring, and communication across relevant stakeholders should be part of the process.",Is internal communication effective for objectives and responsibilities of internal controls?,Policy document; Procedure/SOP; Sample logs/reports,,
CC2.3,Security,"The entity communicates with external parties regarding matters affecting the functioning of internal control. This control requires organizations to establish clear policies, procedures, and governance mechanisms to ensure compliance with SOC 2 trust principles. It emphasizes not only documenting the requirement but also demonstrating evidence of consistent application in day-to-day operations. Independent validation, monitoring, and communication across relevant stakeholders should be part of the process.",Are external communications conducted to ensure stakeholders are informed about internal control matters?,Policy document; Procedure/SOP; Sample logs/reports,,
CC2.4,Security,"The entity establishes communication channels to enable reporting of concerns. This control requires organizations to establish clear policies, procedures, and governance mechanisms to ensure compliance with SOC 2 trust principles. It emphasizes not only documenting the requirement but also demonstrating evidence of consistent application in day-to-day operations. Independent validation, monitoring, and communication across relevant stakeholders should be part of the process.",Are there confidential channels for employees to report concerns without retaliation?,Policy document; Procedure/SOP; Sample logs/reports,,
CC3.1,Security,"The entity specifies objectives with sufficient clarity to enable identification and assessment of risks. This control requires organizations to establish clear policies, procedures, and governance mechanisms to ensure compliance with SOC 2 trust principles. It emphasizes not only documenting the requirement but also demonstrating evidence of consistent application in day-to-day operations. Independent validation, monitoring, and communication across relevant stakeholders should be part of the process.",Are objectives clearly specified to support risk identification and assessment?,Risk assessment reports; Risk register; Mitigation tracking,,
CC3.2,Security,"The entity identifies risks to the achievement of objectives across the entity and analyzes risks as a basis for determining responses. This control requires organizations to establish clear policies, procedures, and governance mechanisms to ensure compliance with SOC 2 trust principles. It emphasizes not only documenting the requirement but also demonstrating evidence of consistent application in day-to-day operations. Independent validation, monitoring, and communication across relevant stakeholders should be part of the process.","Is there a risk management process to identify, analyze, and respond to risks?",Risk assessment reports; Risk register; Mitigation tracking,,
